hotelName,hotelDetail,comment_tag,summary,summery_description,summery_special_tag,summary_score_tag,summary_reviews
夢想家農莊式民宿,929台灣屏東縣琉球鄉三民路39-1號•+886 8 861 2351,"['大自然大自然在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '氣氛氣氛在 8 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 16 則 Google 評論中有提到81% 的評論持正面評價 ', '清潔清潔在 13 則 Google 評論中有提到85% 的評論持正面評價 ', '服務服務在 9 則 Google 評論中有提到67% 的評論持正面評價 ', '大自然大自然在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '氣氛氣氛在 8 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 16 則 Google 評論中有提到81% 的評論持正面評價 ', '清潔清潔在 13 則 Google 評論中有提到85% 的評論持正面評價 ', '服務服務在 9 則 Google 評論中有提到67% 的評論持正面評價 ']",在 106 則評論中，獲得 4.3 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.3很好\xa0|\xa0106 則評論']","['莊富吉""民宿大片綠地，渡假很放鬆舒服，房間也很乾淨舒適，老板會介紹美食景點，很棒,👍', 'Dragon Dragon""房間有異味/搭配的BBQ餐廳沒東西可以烤/套裝行程項目少/服務沒很好""', '李懿芸""老闆、老闆娘人很好 民宿外有小庭院 房間乾淨 乾濕分離衛浴""']"
星晴民宿-台東關山,"2 星級飯店水源30號 Guanshan, 台灣 956•+886 905 956 705","['設施設施在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '清潔清潔在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '設施設施在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '清潔清潔在 5 則 Google 評論中有提到80% 的評論持正面評價 ']",在 24 則評論中，獲得 4.4 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.4很好\xa0|\xa024 則評論']","['Yz C""超市採購點心飲料，客廳也有公用冰箱可使用。""', 'Angel Chiou""小了，溫度切低一點就會冷了！在小村莊裏的民宿這樣的品質我覺得很棒CP值很高！""', 'Ivy Huang""老闆娘不是很親切，房間冷氣不冷，環境尚可。""']"
蘇活汽車旅館,3 星級飯店33046台灣桃園市桃園區大興西路二段80巷27號•+886 3 357 2288,"['健康與保健健康與保健在 6 則 Google 評論中有提到50% 的評論持負面評價 ', '娛樂娛樂在 10 則 Google 評論中有提到60% 的評論持負面評價 ', '設施設施在 15 則 Google 評論中有提到53% 的評論持負面評價 ', '早餐早餐在 16 則 Google 評論中有提到62% 的評論持正面評價 ', '浴室浴室在 25 則 Google 評論中有提到64% 的評論持負面評價 ', '餐廳餐廳在 8 則 Google 評論中有提到62% 的評論持正面評價 ', '清潔清潔在 34 則 Google 評論中有提到50% 的評論持正面評價 ', '服務服務在 28 則 Google 評論中有提到54% 的評論持正面評價 ', '空調空調在 5 則 Google 評論中有提到80% 的評論持負面評價 ', '住宿住宿在 16 則 Google 評論中有提到62% 的評論持負面評價 ', '設施設施在 41 則 Google 評論中有提到61% 的評論持正面評價 ', '氣氛氣氛在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '健康與保健健康與保健在 6 則 Google 評論中有提到50% 的評論持負面評價 ', '娛樂娛樂在 10 則 Google 評論中有提到60% 的評論持負面評價 ', '設施設施在 15 則 Google 評論中有提到53% 的評論持負面評價 ', '早餐早餐在 16 則 Google 評論中有提到62% 的評論持正面評價 ', '浴室浴室在 25 則 Google 評論中有提到64% 的評論持負面評價 ', '餐廳餐廳在 8 則 Google 評論中有提到62% 的評論持正面評價 ', '清潔清潔在 34 則 Google 評論中有提到50% 的評論持正面評價 ', '服務服務在 28 則 Google 評論中有提到54% 的評論持正面評價 ', '空調空調在 5 則 Google 評論中有提到80% 的評論持負面評價 ', '住宿住宿在 16 則 Google 評論中有提到62% 的評論持負面評價 ', '設施設施在 41 則 Google 評論中有提到61% 的評論持正面評價 ', '氣氛氣氛在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 376 則評論中，獲得 3.7 顆星 (滿分為 5 顆星)。良好。,,"['免費 Wi-Fi : 在附近類似的飯店中，有 100% 免費提供 Wi-Fi', '可攜帶寵物 : 在附近類似的飯店中，只有 28% 允許攜帶寵物', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '3.7良好\xa0|\xa0376 則評論']","['Jung Lin""房間燈光明亮，設備很棒，非常舒適，是很棒的住宿經驗！CP值超高！！！""', '林全福""乾淨，設備新穎，有USB恐充電，服務親切，早餐菜色稍嫌少了些，有機會還會去""', '林彥君""2020.8.23姓蕭的櫃臺小姐態度很差，掛客戶電話，希望有所改善""']"
安平晴海民宿,708台灣台南市安平區世平四街49巷8號•+886 979 665 887,"['清潔清潔在 11 則 Google 評論中有提到82% 的評論持正面評價 ', '設施設施在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '服務服務在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 11 則 Google 評論中有提到82% 的評論持正面評價 ', '設施設施在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '服務服務在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 52 則評論中，獲得 3.7 顆星 (滿分為 5 顆星)。良好。,,"['免費停車場 : 在附近類似的飯店中，只有 28% 提供免費停車', '可攜帶寵物 : 在附近類似的飯店中，只有 14% 允許攜帶寵物']","['', '3.7良好\xa0|\xa052 則評論']","['王雨璇""😊房間很乾淨~離安平老街也不遠，很方便！還有提供腳踏車可以騎~很棒', 'Yong-Cheng Chen""一樓房間完全沒有熱水，房間地板沙沙的，公共空間有死昆蟲""', '王薇琇""老闆娘很親切👍，有什麼問題都會馬上協助處理']"
澎旅品花灣,"No. 563號, 西衛, 馬公市澎湖縣台灣 880•+886 912 613 990","['氣氛氣氛在 15 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 20 則 Google 評論中有提到100% 的評論持正面評價 ', '餐廳餐廳在 17 則 Google 評論中有提到94% 的評論持正面評價 ', '早餐早餐在 25 則 Google 評論中有提到92% 的評論持正面評價 ', '設施設施在 39 則 Google 評論中有提到97% 的評論持正面評價 ', '服務服務在 27 則 Google 評論中有提到96% 的評論持正面評價 ', '地點地點在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '大自然大自然在 35 則 Google 評論中有提到97% 的評論持正面評價 ', '設施設施在 29 則 Google 評論中有提到100% 的評論持正面評價 ', '家庭料理家庭料理在 10 則 Google 評論中有提到90% 的評論持正面評價 ', '住宿住宿在 16 則 Google 評論中有提到94% 的評論持正面評價 ', '餐飲餐飲在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 15 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 20 則 Google 評論中有提到100% 的評論持正面評價 ', '餐廳餐廳在 17 則 Google 評論中有提到94% 的評論持正面評價 ', '早餐早餐在 25 則 Google 評論中有提到92% 的評論持正面評價 ', '設施設施在 39 則 Google 評論中有提到97% 的評論持正面評價 ', '服務服務在 27 則 Google 評論中有提到96% 的評論持正面評價 ', '地點地點在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '大自然大自然在 35 則 Google 評論中有提到97% 的評論持正面評價 ', '設施設施在 29 則 Google 評論中有提到100% 的評論持正面評價 ', '家庭料理家庭料理在 10 則 Google 評論中有提到90% 的評論持正面評價 ', '住宿住宿在 16 則 Google 評論中有提到94% 的評論持正面評價 ', '餐飲餐飲在 6 則 Google 評論中有提到100% 的評論持正面評價 ']",在 139 則評論中，獲得 5.0 顆星 (滿分為 5 顆星)。非常好。,,"['評價絕佳的客房清潔服務 : 房客對這間飯店的整潔程度感到滿意', '評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '受家庭旅客歡迎 : 家庭旅客很喜歡這間飯店', '睡得很安穩 : 房客表示他們在這間飯店睡得很好']","['', '5.0非常好\xa0|\xa0139 則評論']","['Tina Lee""房間外面就可以直接看到夕陽，民宿外也可以直接接觸到海岸，漲潮、退潮的風景都很美。""', '張齡之""無敵海景、有品味充滿設計感又舒適的住宿空間、親切的小老闆娘、...........,不來太可惜！""', 'angéligue chen""磨豆漿和黑咖啡可以享用 還吃得到排隊早餐一條街的美味餐點 覺得真的太享受了！""']"
枕頭旅宿 Pillow Hostel,3 星級飯店10045台灣台北市中正區重慶南路一段49號9樓•+886 2 2382 1199,"['住宿住宿在 82 則 Google 評論中有提到51% 的評論持負面評價 ', '浴室浴室在 56 則 Google 評論中有提到46% 的評論持負面評價 ', '廚房廚房在 16 則 Google 評論中有提到44% 的評論持正面評價 ', '安全安全在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '清潔清潔在 82 則 Google 評論中有提到74% 的評論持正面評價 ', '地點地點在 47 則 Google 評論中有提到79% 的評論持正面評價 ', '無障礙設施無障礙設施在 12 則 Google 評論中有提到58% 的評論持負面評價 ', '服務服務在 55 則 Google 評論中有提到65% 的評論持正面評價 ', '設施設施在 26 則 Google 評論中有提到58% 的評論持正面評價 ', '大眾運輸大眾運輸在 16 則 Google 評論中有提到81% 的評論持正面評價 ', '酒吧酒吧在 9 則 Google 評論中有提到89% 的評論持正面評價 ', 'Wi-FiWi-Fi在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '設施設施在 51 則 Google 評論中有提到71% 的評論持正面評價 ', '空調空調在 8 則 Google 評論中有提到62% 的評論持負面評價 ', '娛樂娛樂在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '早餐早餐在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '氣氛氣氛在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '餐飲餐飲在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '住宿住宿在 82 則 Google 評論中有提到51% 的評論持負面評價 ', '浴室浴室在 56 則 Google 評論中有提到46% 的評論持負面評價 ', '廚房廚房在 16 則 Google 評論中有提到44% 的評論持正面評價 ', '安全安全在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '清潔清潔在 82 則 Google 評論中有提到74% 的評論持正面評價 ', '地點地點在 47 則 Google 評論中有提到79% 的評論持正面評價 ', '無障礙設施無障礙設施在 12 則 Google 評論中有提到58% 的評論持負面評價 ', '服務服務在 55 則 Google 評論中有提到65% 的評論持正面評價 ', '設施設施在 26 則 Google 評論中有提到58% 的評論持正面評價 ', '大眾運輸大眾運輸在 16 則 Google 評論中有提到81% 的評論持正面評價 ', '酒吧酒吧在 9 則 Google 評論中有提到89% 的評論持正面評價 ', 'Wi-FiWi-Fi在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '設施設施在 51 則 Google 評論中有提到71% 的評論持正面評價 ', '空調空調在 8 則 Google 評論中有提到62% 的評論持負面評價 ', '娛樂娛樂在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '早餐早餐在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '氣氛氣氛在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '餐飲餐飲在 5 則 Google 評論中有提到60% 的評論持正面評價 ']",在 395 則評論中，獲得 3.9 顆星 (滿分為 5 顆星)。良好。,,"['免費 Wi-Fi : 在附近類似的飯店中，有 90% 免費提供 Wi-Fi', '靠近大眾運輸站 : 房客很喜歡這間飯店，因為這裡鄰近大眾運輸系統', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '3.9良好\xa0|\xa0395 則評論']","['cong012321""生活機能好 附近車站 百貨 美食都有 很方便 環境乾淨 床也算好睡 CP值還不錯""', '黃鉦裕芋仔""訂房時告知有空房 到達時卻告知搞錯了無房間 事後也沒做任何補救動作 服務品質差勁""', 'Ronan CHEN""地點佳.價格親民 背包客房空間窄""']"
星窩居 民宿,"2 星級飯店5 號, No. 25保新路車城鄉屏東縣台灣 944",[],在 9 則評論中，獲得 4.3 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.3很好\xa0|\xa09 則評論']",[]
木文陶喜,2 星級飯店110台灣台北市信義區基隆路一段155號•+886 2 2749 4698,"['服務服務在 13 則 Google 評論中有提到46% 的評論持負面評價 ', '地點地點在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '清潔清潔在 9 則 Google 評論中有提到56% 的評論持中立評價 ', '服務服務在 13 則 Google 評論中有提到46% 的評論持負面評價 ', '地點地點在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '清潔清潔在 9 則 Google 評論中有提到56% 的評論持中立評價 ']",在 55 則評論中，獲得 3.1 顆星 (滿分為 5 顆星)。一般。,,"['免費 Wi-Fi : 在附近類似的飯店中，有 80% 免費提供 Wi-Fi', '免費早餐 : 在附近類似的飯店中，只有 19% 免費提供早餐', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '3.1一般\xa0|\xa055 則評論']","['姜冠宇""場地好、燈光好、CP值高, 非常有品酒人喜歡的情調""', 'Justin Wu""店家説GOMAJI的客戶只能親自到店看有沒有房間，無法接受電話預約。""', '張哲銘中醫師""地點離捷運很近，交通方便，環境乾淨""']"
花蓮朵拉的小世界平價名宿,973台灣花蓮縣吉安鄉東里一街92號•+886 982 883 318,"['清潔清潔在 37 則 Google 評論中有提到95% 的評論持正面評價 ', '餐飲餐飲在 9 則 Google 評論中有提到67% 的評論持正面評價 ', '設施設施在 31 則 Google 評論中有提到94% 的評論持正面評價 ', '氣氛氣氛在 14 則 Google 評論中有提到100% 的評論持正面評價 ', '住宿住宿在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '服務服務在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '地點地點在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '清潔清潔在 37 則 Google 評論中有提到95% 的評論持正面評價 ', '餐飲餐飲在 9 則 Google 評論中有提到67% 的評論持正面評價 ', '設施設施在 31 則 Google 評論中有提到94% 的評論持正面評價 ', '氣氛氣氛在 14 則 Google 評論中有提到100% 的評論持正面評價 ', '住宿住宿在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '服務服務在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '地點地點在 6 則 Google 評論中有提到67% 的評論持正面評價 ']",在 118 則評論中，獲得 4.6 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '免費停車場 : 在附近類似的飯店中，只有 9% 提供免費停車', '免費 Wi-Fi : 在附近類似的飯店中，只有 23% 免費提供 Wi-Fi', '睡得很安穩 : 房客表示他們在這間飯店睡得很好', '空調 : 在附近類似的飯店中，只有 19% 設有空調']","['', '4.6非常好\xa0|\xa0118 則評論']","['Menglin Lin""位於往台東海線和山線的交叉點上，鄰近海濱公園及加油站，距離東大門夜市亦不遠。""', '康秉源""老闆熱情介紹花蓮美食和景點 房間感覺漂亮""', 'NANAMi七海""環境舒適，老闆娘很細心親切，來花蓮一定還會再來住宿的好地方♡""']"
逢甲悠遊館,407台灣台中市西屯區逢甲路21號•+886 923 389 797,[],在 7 則評論中，獲得 3.3 顆星 (滿分為 5 顆星)。一般。,,"['免費 Wi-Fi : 在附近類似的飯店中，有 52% 免費提供 Wi-Fi', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '3.3一般\xa0|\xa07 則評論']","['Sam Tu""推薦台中逢甲優質民宿，適合情侶住宿，還有長期套房出租，服務多多喔""', 'Masafumi Suicide""熱水不熱，房裡設備有很多問題，也不乾淨，非常不推薦""', 'Cathy Tsai""店，離公車站也非常近。""']"
香橙豬民宿,"2 星級飯店台灣 號, No. 182基山街瑞芳區新北市台灣•+886 958 095 821","['大自然大自然在 14 則 Google 評論中有提到71% 的評論持正面評價 ', '住宿住宿在 15 則 Google 評論中有提到67% 的評論持負面評價 ', '浴室浴室在 9 則 Google 評論中有提到67% 的評論持負面評價 ', '清潔清潔在 11 則 Google 評論中有提到55% 的評論持正面評價 ', '設施設施在 13 則 Google 評論中有提到62% 的評論持負面評價 ', '地點地點在 8 則 Google 評論中有提到62% 的評論持中立評價 ', '設施設施在 10 則 Google 評論中有提到40% 的評論持正面評價 ', '早餐早餐在 8 則 Google 評論中有提到88% 的評論持正面評價 ', '大自然大自然在 14 則 Google 評論中有提到71% 的評論持正面評價 ', '住宿住宿在 15 則 Google 評論中有提到67% 的評論持負面評價 ', '浴室浴室在 9 則 Google 評論中有提到67% 的評論持負面評價 ', '清潔清潔在 11 則 Google 評論中有提到55% 的評論持正面評價 ', '設施設施在 13 則 Google 評論中有提到62% 的評論持負面評價 ', '地點地點在 8 則 Google 評論中有提到62% 的評論持中立評價 ', '設施設施在 10 則 Google 評論中有提到40% 的評論持正面評價 ', '早餐早餐在 8 則 Google 評論中有提到88% 的評論持正面評價 ']",在 58 則評論中，獲得 3.8 顆星 (滿分為 5 顆星)。良好。,,[],"['', '3.8良好\xa0|\xa058 則評論']","['SHYU WEI""地點位於老街內相當方便，停車需要走一段樓梯 房內景觀佳，但是隔音稍差""', 'ChiaLing Yeh""風景不錯，早餐是總匯吐司跟魚丸湯味道也很棒。""', 'IRIS HSU宛""也沒有提供機車搬運行李的服務，得自己搬，從停車場至住宿需要步行10分鐘。""']"
Omoi Life House,"號, No. 47府安路五段218巷安南區台南市台灣 709•+886 916 587 829","['服務服務在 18 則 Google 評論中有提到89% 的評論持正面評價 ', '清潔清潔在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '寵物寵物在 38 則 Google 評論中有提到82% 的評論持正面評價 ', '設施設施在 17 則 Google 評論中有提到71% 的評論持正面評價 ', '住宿住宿在 12 則 Google 評論中有提到50% 的評論持正面評價 ', '早餐早餐在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '家庭料理家庭料理在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '餐飲餐飲在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 18 則 Google 評論中有提到89% 的評論持正面評價 ', '清潔清潔在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '寵物寵物在 38 則 Google 評論中有提到82% 的評論持正面評價 ', '設施設施在 17 則 Google 評論中有提到71% 的評論持正面評價 ', '住宿住宿在 12 則 Google 評論中有提到50% 的評論持正面評價 ', '早餐早餐在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '家庭料理家庭料理在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '餐飲餐飲在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 6 則 Google 評論中有提到100% 的評論持正面評價 ']",在 103 則評論中，獲得 4.3 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.3很好\xa0|\xa0103 則評論']","['Isabel Lin""老闆還會推薦寵物友善的餐廳和景點行程 購買了住宿和森呼吸一起的套票，很值得～""', '檢至陪""Omoi Life House根本是超級地雷等級的民宿。我寧願多花點錢去住飯店。""', 'Chang Jason""彎錯地方，小冰箱是共用的，小陽台可以給狗狗去看看遠方，適合一群人來會比較好玩。""']"
EATzzZ Hostel 吃吃睡設計宅,804台灣高雄市鼓山區華榮路49號•+886 900 343 579,"['早餐早餐在 19 則 Google 評論中有提到89% 的評論持正面評價 ', '餐廳餐廳在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '酒吧酒吧在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '住宿住宿在 16 則 Google 評論中有提到88% 的評論持正面評價 ', '地點地點在 9 則 Google 評論中有提到78% 的評論持正面評價 ', '服務服務在 16 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 21 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 15 則 Google 評論中有提到87% 的評論持正面評價 ', '早餐早餐在 19 則 Google 評論中有提到89% 的評論持正面評價 ', '餐廳餐廳在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '酒吧酒吧在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '住宿住宿在 16 則 Google 評論中有提到88% 的評論持正面評價 ', '地點地點在 9 則 Google 評論中有提到78% 的評論持正面評價 ', '服務服務在 16 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 21 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 15 則 Google 評論中有提到87% 的評論持正面評價 ']",在 85 則評論中，獲得 4.9 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '早餐美味 : 房客喜歡這間飯店的早餐', '優質房型 : 房客喜歡這間飯店的客房', '睡得很安穩 : 房客表示他們在這間飯店睡得很好', '服務親切 : 房客喜歡這間飯店的服務']","['', '4.9非常好\xa0|\xa085 則評論']","['mozuli奶油""房間很乾淨整齊，備的物品很細心齊全，提供的早餐豐富，離夜市也近，是很棒的住宿點。""', '阿嘎洪""天氣熱老闆還有招待冬瓜檸檬給我們喝🤤 下次還會入住的民宿！', '吳依瑩""房間溫馨舒服 餐廳的空間佈置很美 老闆人很好，解釋房間的大小事很仔細""']"
石門山勞工育樂中心,325台灣桃園市龍潭區號•+886 3 471 1225,"['大自然大自然在 61 則 Google 評論中有提到92% 的評論持正面評價 ', '停車場停車場在 64 則 Google 評論中有提到77% 的評論持正面評價 ', '家庭料理家庭料理在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '地點地點在 16 則 Google 評論中有提到75% 的評論持正面評價 ', '商務設施商務設施在 13 則 Google 評論中有提到69% 的評論持正面評價 ', '設施設施在 20 則 Google 評論中有提到75% 的評論持正面評價 ', '浴室浴室在 27 則 Google 評論中有提到48% 的評論持負面評價 ', '設施設施在 31 則 Google 評論中有提到45% 的評論持正面評價 ', '清潔清潔在 17 則 Google 評論中有提到59% 的評論持負面評價 ', '夜生活夜生活在 11 則 Google 評論中有提到64% 的評論持正面評價 ', '住宿住宿在 10 則 Google 評論中有提到60% 的評論持正面評價 ', '服務服務在 12 則 Google 評論中有提到58% 的評論持正面評價 ', '早餐早餐在 7 則 Google 評論中有提到43% 的評論持中立評價 ', '氣氛氣氛在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '無障礙設施無障礙設施在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '廚房廚房在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '餐飲餐飲在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '大自然大自然在 61 則 Google 評論中有提到92% 的評論持正面評價 ', '停車場停車場在 64 則 Google 評論中有提到77% 的評論持正面評價 ', '家庭料理家庭料理在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '地點地點在 16 則 Google 評論中有提到75% 的評論持正面評價 ', '商務設施商務設施在 13 則 Google 評論中有提到69% 的評論持正面評價 ', '設施設施在 20 則 Google 評論中有提到75% 的評論持正面評價 ', '浴室浴室在 27 則 Google 評論中有提到48% 的評論持負面評價 ', '設施設施在 31 則 Google 評論中有提到45% 的評論持正面評價 ', '清潔清潔在 17 則 Google 評論中有提到59% 的評論持負面評價 ', '夜生活夜生活在 11 則 Google 評論中有提到64% 的評論持正面評價 ', '住宿住宿在 10 則 Google 評論中有提到60% 的評論持正面評價 ', '服務服務在 12 則 Google 評論中有提到58% 的評論持正面評價 ', '早餐早餐在 7 則 Google 評論中有提到43% 的評論持中立評價 ', '氣氛氣氛在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '無障礙設施無障礙設施在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '廚房廚房在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '餐飲餐飲在 5 則 Google 評論中有提到60% 的評論持正面評價 ']",在 936 則評論中，獲得 3.7 顆星 (滿分為 5 顆星)。良好。,,[],"['', '3.7良好\xa0|\xa0936 則評論']","['cl hsu""環境清幽 空氣清新 適合學校,公司團體活動 也適合家庭假日渡假輕旅行 價廉而物美""', 'Jia-jeng Tsai""餐飲為中式，料理好吃，住宿環境則是普通，房間內空間大，但設備，家具及浴室稍老舊""', '夜塔托斯巡""蟲多、房舊、有狗、有貓、中式家常菜、西方雕像及壁畫裝潢，整體儼然一古蹟。""']"
