reviews,value,comfort,location,cleanliness,service,facilities,ws_pos_reviews,filtered_word
營地氣氛悠閒、設備齊全，有交誼廳可以聊天、看電視，且衛浴空間乾淨！,0.0,0.0,0.0,1.0,0.0,1.0,營地(Nc)/氣氛(Na)/悠閒(VH)/、(PAUSECATEGORY)/設備(Na)/齊全(VH)/，(COMMACATEGORY)/有(V_2)/交誼廳(Nc)/可以(D)/聊天(VA)/、(PAUSECATEGORY)/看(VC)/電視(Na)/，(COMMACATEGORY)/且(Caa)/衛浴(Na)/空間(Na)/乾淨(VH)/！(EXCLAMATIONCATEGORY),營地(Nc)/氣氛(Na)/悠閒(VH)/設備(Na)/齊全(VH)/有(V_2)/交誼廳(Nc)/聊天(VA)/看(VC)/電視(Na)/衛浴(Na)/空間(Na)/乾淨(VH)
風景好，近海港海港邊有玩水密境，魚船回港還可以去批魚貨，新鮮又便宜,0.0,0.0,1.0,0.0,0.0,0.0,風景(Na)/好(VH)/，(COMMACATEGORY)/近(VJ)/海港(Nc)/海港(Nc)/邊(Ncd)/有(V_2)/玩水(VA)/密境(Na)/，(COMMACATEGORY)/魚船(Na)/回(VCL)/港(Nc)/還可以(D)/去(D)/批(VC)/魚貨(Na)/，(COMMACATEGORY)/新鮮(VH)/又(Caa)/便宜(VH),風景(Na)/好(VH)/近(VJ)/海港(Nc)/海港(Nc)/邊(Ncd)/有(V_2)/玩水(VA)/密境(Na)/魚船(Na)/回(VCL)/港(Nc)/批(VC)/魚貨(Na)/新鮮(VH)/便宜(VH)
房間乾淨舒適、寧靜安全，是到澎湖觀光旅遊住宿的最佳選擇！,0.0,1.0,0.0,1.0,0.0,0.0,房間(Nc)/乾淨(VH)/舒適(VH)/、(PAUSECATEGORY)/寧靜(VH)/安全(VH)/，(COMMACATEGORY)/是(SHI)/到(P)/澎湖(Nc)/觀光(VA)/旅遊(VA)/住宿(VA)/的(DE)/最佳(A)/選擇(VC)/！(EXCLAMATIONCATEGORY),房間(Nc)/乾淨(VH)/舒適(VH)/寧靜(VH)/安全(VH)/到(P)/澎湖(Nc)/觀光(VA)/旅遊(VA)/住宿(VA)/最佳(A)/選擇(VC)
貴民宿的老闆和老闆娘很親切，管家人也不錯。,0.0,0.0,0.0,0.0,1.0,0.0,貴(Nes)/民宿(Nc)/的(DE)/老闆(Na)/和(Caa)/老闆娘(Na)/很(Dfa)/親切(VH)/，(COMMACATEGORY)/管家人(Na)/也(D)/不錯(VH)/。(PERIODCATEGORY),貴(Nes)/民宿(Nc)/老闆(Na)/老闆娘(Na)/親切(VH)/管家人(Na)/不錯(VH)
可以再加一顆星！六星級cp值超高，老闆人超好,1.0,0.0,0.0,0.0,1.0,0.0,可以(D)/再(D)/加(VC)/一(Neu)/顆(Nf)/星(Na)/！(EXCLAMATIONCATEGORY)/六星級(Na)/cp值(FW)/超(Dfa)/高(VH)/，(COMMACATEGORY)/老闆(Na)/人(Na)/超(Dfa)/好(VH),加(VC)/一(Neu)/顆(Nf)/星(Na)/六星級(Na)/cp值(FW)/高(VH)/老闆(Na)/人(Na)/好(VH)
離鬧區不遠，價格便宜，房間安靜，停車超方便，早餐肉燥飯和豆漿大推！,1.0,1.0,1.0,0.0,1.0,1.0,離(P)/鬧區(Nc)/不遠(D)/，(COMMACATEGORY)/價格(Na)/便宜(VH)/，(COMMACATEGORY)/房間(Nc)/安靜(VH)/，(COMMACATEGORY)/停車(VA)/超(Dfa)/方便(VH)/，(COMMACATEGORY)/早餐(Na)/肉燥飯(Na)/和(Caa)/豆漿(Na)/大推(VC)/！(EXCLAMATIONCATEGORY),離(P)/鬧區(Nc)/價格(Na)/便宜(VH)/房間(Nc)/安靜(VH)/停車(VA)/方便(VH)/早餐(Na)/肉燥飯(Na)/豆漿(Na)/大推(VC)
舊飯店空間配置不擁擠，有免費餅乾茶包咖啡包，附近有夜市可是好像不熱鬧,1.0,1.0,1.0,0.0,1.0,0.0,舊(VH)/飯店(Nc)/空間(Na)/配置(Nv)/不(D)/擁擠(VH)/，(COMMACATEGORY)/有(V_2)/免費(VH)/餅乾(Na)/茶包(Na)/咖啡包(Na)/，(COMMACATEGORY)/附近(Nc)/有(V_2)/夜市(Nc)/可是(D)/好像(D)/不(D)/熱鬧(VH),舊(VH)/飯店(Nc)/空間(Na)/配置(Nv)/擁擠(VH)/有(V_2)/免費(VH)/餅乾(Na)/茶包(Na)/咖啡包(Na)/附近(Nc)/有(V_2)/夜市(Nc)/熱鬧(VH)
陸客團的住宿飯店，有大型停車場，距離嘉義車站不遠！,0.0,0.0,1.0,0.0,0.0,1.0,陸客團(Na)/的(DE)/住宿(VA)/飯店(Nc)/，(COMMACATEGORY)/有(V_2)/大型(Na)/停車場(Nc)/，(COMMACATEGORY)/距離(P)/嘉義(Nc)/車站(Nc)/不遠(VH)/！(EXCLAMATIONCATEGORY),陸客團(Na)/住宿(VA)/飯店(Nc)/有(V_2)/大型(Na)/停車場(Nc)/距離(P)/嘉義(Nc)/車站(Nc)/不遠(VH)
"交通位置很好 老闆很nice,推薦很多美食 浮潛行程也很棒 下次還想再來。",0.0,0.0,1.0,0.0,1.0,0.0,"交通(Na)/位置(Na)/很(Dfa)/好(VH)/ (WHITESPACE)/老闆(Na)/很(Dfa)/nice(FW)/,(COMMACATEGORY)/推薦(VC)/很多(Neqa)/美食(Na)/ (WHITESPACE)/浮潛(VA)/行程(Na)/也(D)/很(Dfa)/棒(VH)/ (WHITESPACE)/下(Nes)/次(Nf)/還(D)/想(VE)/再(D)/來(D)/。(PERIODCATEGORY)",交通(Na)/位置(Na)/好(VH)/老闆(Na)/nice(FW)/推薦(VC)/很多(Neqa)/美食(Na)/浮潛(VA)/行程(Na)/棒(VH)/下(Nes)/次(Nf)/想(VE)
老闆人很熱心房間都有大陽台，很乾淨有質感。是很有溫度舒服的民宿,0.0,1.0,0.0,1.0,1.0,0.0,老闆(Na)/人(Na)/很(Dfa)/熱心(VJ)/房間(Nc)/都(D)/有(V_2)/大(VH)/陽台(Na)/，(COMMACATEGORY)/很(Dfa)/乾淨(VH)/有(V_2)/質感(Na)/。(PERIODCATEGORY)/是(SHI)/很(Dfa)/有(V_2)/溫度(Na)/舒服(VH)/的(DE)/民宿(Nc),老闆(Na)/人(Na)/熱心(VJ)/房間(Nc)/有(V_2)/大(VH)/陽台(Na)/乾淨(VH)/有(V_2)/質感(Na)/有(V_2)/溫度(Na)/舒服(VH)/民宿(Nc)
門口除了有隱藏鞋櫃和人工草皮外還有一個沖水的空間。民宿內的用品品質相當不錯！,0.0,0.0,0.0,0.0,0.0,1.0,門口(Nc)/除了(P)/有(V_2)/隱藏(VC)/鞋櫃(Na)/和(Caa)/人工(Na)/草皮(Na)/外(Ng)/還(D)/有(V_2)/一(Neu)/個(Nf)/沖(VC)/水(Na)/的(DE)/空間(Na)/。(PERIODCATEGORY)/民宿(Nc)/內(Ncd)/的(DE)/用品(Na)/品質(Na)/相當(Dfa)/不錯(VH)/！(EXCLAMATIONCATEGORY),門口(Nc)/除了(P)/有(V_2)/隱藏(VC)/鞋櫃(Na)/人工(Na)/草皮(Na)/外(Ng)/有(V_2)/一(Neu)/個(Nf)/沖(VC)/水(Na)/空間(Na)/民宿(Nc)/內(Ncd)/用品(Na)/品質(Na)/不錯(VH)
二特區、還能體驗輕軌鐵道感受港都高雄多樣化的魅力，真心推薦,0.0,0.0,0.0,0.0,0.0,0.0,二(Neu)/特區(Nc)/、(PAUSECATEGORY)/還(D)/能(D)/體驗(VC)/輕軌(Na)/鐵道(Na)/感受(VK)/港都(Nc)/高雄(Nc)/多樣化(VHC)/的(DE)/魅力(Na)/，(COMMACATEGORY)/真心(VH)/推薦(VC),二(Neu)/特區(Nc)/體驗(VC)/輕軌(Na)/鐵道(Na)/感受(VK)/港都(Nc)/高雄(Nc)/多樣化(VHC)/魅力(Na)/真心(VH)/推薦(VC)
很棒的藝術空間，不止可以吃東西，也能住宿，定期也會有不同的展覽，而且老闆娘超正的,0.0,0.0,0.0,0.0,1.0,1.0,很(Dfa)/棒(VH)/的(DE)/藝術(Na)/空間(Na)/，(COMMACATEGORY)/不止(Da)/可以(D)/吃(VC)/東西(Na)/，(COMMACATEGORY)/也(D)/能(D)/住宿(VA)/，(COMMACATEGORY)/定期(D)/也(D)/會(D)/有(V_2)/不同(VH)/的(DE)/展覽(VC)/，(COMMACATEGORY)/而且(Cbb)/老闆娘(Na)/超正(VH)/的(DE),棒(VH)/藝術(Na)/空間(Na)/吃(VC)/東西(Na)/住宿(VA)/有(V_2)/不同(VH)/展覽(VC)/老闆娘(Na)/超正(VH)
有溫暖、有內涵的民宿！值得再次來放鬆渡假！極力推薦！超讚！,0.0,1.0,0.0,0.0,0.0,0.0,有(V_2)/溫暖(VHC)/、(PAUSECATEGORY)/有(V_2)/內涵(Na)/的(DE)/民宿(Nc)/！(EXCLAMATIONCATEGORY)/值得(VH)/再次(D)/來(D)/放鬆(VHC)/渡假(VA)/！(EXCLAMATIONCATEGORY)/極力(D)/推薦(VC)/！(EXCLAMATIONCATEGORY)/超讚(Dfa)/！(EXCLAMATIONCATEGORY),有(V_2)/溫暖(VHC)/有(V_2)/內涵(Na)/民宿(Nc)/值得(VH)/放鬆(VHC)/渡假(VA)/推薦(VC)
餐點用心精緻，可以感受女老闆對於食材的要求。店內還有貼心的情人節活動，玩得很開心,0.0,0.0,0.0,0.0,1.0,1.0,餐點(Na)/用心(VH)/精緻(VH)/，(COMMACATEGORY)/可以(D)/感受(VK)/女(Na)/老闆(Na)/對於(P)/食材(Na)/的(DE)/要求(Na)/。(PERIODCATEGORY)/店(Nc)/內(Ncd)/還(D)/有(V_2)/貼心(VH)/的(DE)/情人節(Nd)/活動(Na)/，(COMMACATEGORY)/玩(VC)/得(DE)/很(Dfa)/開心(VH),餐點(Na)/用心(VH)/精緻(VH)/感受(VK)/女(Na)/老闆(Na)/對於(P)/食材(Na)/要求(Na)/店(Nc)/內(Ncd)/有(V_2)/貼心(VH)/情人節(Nd)/活動(Na)/玩(VC)/開心(VH)
的九份美食絕對是必吃中的必吃 房間乾淨舒適程度媲美五星級飯店,0.0,1.0,0.0,1.0,0.0,0.0,的(DE)/九(Neu)/份(Nf)/美食(Na)/絕對(D)/是(SHI)/必(D)/吃(VC)/中(Ng)/的(DE)/必(D)/吃(VC)/ (WHITESPACE)/房間(Nc)/乾淨(VH)/舒適(VH)/程度(Na)/媲美(VJ)/五星級(Na)/飯店(Nc),九(Neu)/份(Nf)/美食(Na)/吃(VC)/中(Ng)/吃(VC)/房間(Nc)/乾淨(VH)/舒適(VH)/程度(Na)/媲美(VJ)/五星級(Na)/飯店(Nc)
很多貼心的細節靜待來客體會，感覺得到老闆花了很多心思提供旅人舒適的住宿空間。,0.0,1.0,0.0,0.0,1.0,0.0,很多(Neqa)/貼心(VH)/的(DE)/細節(Na)/靜待(VK)/來客(Na)/體會(VK)/，(COMMACATEGORY)/感覺(VK)/得(DE)/到(VK)/老闆(Na)/花(VC)/了(Di)/很多(Neqa)/心思(Na)/提供(VD)/旅人(Na)/舒適(VH)/的(DE)/住宿(VA)/空間(Na)/。(PERIODCATEGORY),很多(Neqa)/貼心(VH)/細節(Na)/靜待(VK)/來客(Na)/體會(VK)/感覺(VK)/到(VK)/老闆(Na)/花(VC)/很多(Neqa)/心思(Na)/提供(VD)/旅人(Na)/舒適(VH)/住宿(VA)/空間(Na)
地點不錯 房間外面有陽台可以看海景 缺點就是浴室的沐浴乳快沒了 沒有補,0.0,1.0,1.0,0.0,1.0,0.0,地點(Na)/不錯(VH)/ (WHITESPACE)/房間(Nc)/外面(Ncd)/有(V_2)/陽台(Na)/可以(D)/看(VC)/海景(Na)/ (WHITESPACE)/缺點(Na)/就(D)/是(SHI)/浴室(Nc)/的(DE)/沐浴乳(Na)/快(D)/沒(VJ)/了(T)/ (WHITESPACE)/沒有(D)/補(VC),地點(Na)/不錯(VH)/房間(Nc)/外面(Ncd)/有(V_2)/陽台(Na)/看(VC)/海景(Na)/缺點(Na)/浴室(Nc)/沐浴乳(Na)/沒(VJ)/補(VC)
裝潢與設備還不錯，但清潔度欠佳。房間地板桌子床頭椅子都是沙子? 浴缸還有些頭髮。,0.0,1.0,0.0,1.0,0.0,0.0,裝潢(Na)/與(Caa)/設備(Na)/還(D)/不錯(VH)/，(COMMACATEGORY)/但(Cbb)/清潔度(Na)/欠佳(VH)/。(PERIODCATEGORY)/房間(Nc)/地板(Na)/桌子(Na)/床頭(Nc)/椅子(Na)/都(D)/是(SHI)/沙子(Na)/?(QUESTIONCATEGORY)/ (WHITESPACE)/浴缸(Na)/還(D)/有(Neqa)/些(Nf)/頭髮(Na)/。(PERIODCATEGORY),裝潢(Na)/設備(Na)/不錯(VH)/清潔度(Na)/欠佳(VH)/房間(Nc)/地板(Na)/桌子(Na)/床頭(Nc)/椅子(Na)/沙子(Na)/浴缸(Na)/有(Neqa)/些(Nf)/頭髮(Na)
"早餐簡單2, 風景5, 房型風格5, 隔音3, 停車方便8",0.0,1.0,1.0,0.0,1.0,1.0,"早餐(Na)/簡單(VH)/2,(Neu)/ (WHITESPACE)/風景(Na)/5,(Neu)/ (WHITESPACE)/房型(Na)/風格(Na)/5,(Neu)/ (WHITESPACE)/隔音(A)/3,(Neu)/ (WHITESPACE)/停車(VA)/方便(VH)/8(Neu)","早餐(Na)/簡單(VH)/2,(Neu)/風景(Na)/5,(Neu)/房型(Na)/風格(Na)/5,(Neu)/隔音(A)/3,(Neu)/停車(VA)/方便(VH)/8(Neu)"
老闆娘很親切漂亮，會介紹美食及旅遊地點，民宿在庭院有收養ㄧ隻流浪貓咪很可愛。,0.0,0.0,0.0,0.0,1.0,0.0,老闆娘(Na)/很(Dfa)/親切(VH)/漂亮(VH)/，(COMMACATEGORY)/會(D)/介紹(VE)/美食(Na)/及(Caa)/旅遊(VA)/地點(Na)/，(COMMACATEGORY)/民宿(Nc)/在(P)/庭院(Na)/有(V_2)/收養(VC)/ㄧ(Neu)/隻(Nf)/流浪(VA)/貓咪(Na)/很(Dfa)/可愛(VH)/。(PERIODCATEGORY),老闆娘(Na)/親切(VH)/漂亮(VH)/介紹(VE)/美食(Na)/旅遊(VA)/地點(Na)/民宿(Nc)/在(P)/庭院(Na)/有(V_2)/收養(VC)/ㄧ(Neu)/隻(Nf)/流浪(VA)/貓咪(Na)/可愛(VH)
離中與停車場超近的民宿，房間乾淨 而最令人滿意的是老闆娘無比親切熱情的服務！,0.0,0.0,1.0,1.0,1.0,0.0,離(P)/中(Ncd)/與(Caa)/停車場(Nc)/超(VC)/近(VH)/的(DE)/民宿(Nc)/，(COMMACATEGORY)/房間(Nc)/乾淨(VH)/ (WHITESPACE)/而(Cbb)/最(Dfa)/令(VL)/人(Na)/滿意(VK)/的(DE)/是(SHI)/老闆娘(Na)/無比(VH)/親切(VH)/熱情(VH)/的(DE)/服務(Nv)/！(EXCLAMATIONCATEGORY),離(P)/中(Ncd)/停車場(Nc)/超(VC)/近(VH)/民宿(Nc)/房間(Nc)/乾淨(VH)/令(VL)/人(Na)/滿意(VK)/老闆娘(Na)/無比(VH)/親切(VH)/熱情(VH)/服務(Nv)
地點很棒靠近水社遊客中心，乾淨舒適，喜愛龍貓主題環境佈置的首選~,0.0,1.0,1.0,1.0,0.0,0.0,地點(Na)/很(Dfa)/棒(VH)/靠近(VC)/水社(Nc)/遊客(Na)/中心(Nc)/，(COMMACATEGORY)/乾淨(VH)/舒適(VH)/，(COMMACATEGORY)/喜愛(VL)/龍貓(Nb)/主題(Na)/環境(Na)/佈置(VC)/的(DE)/首選(Na)/~(FW),地點(Na)/棒(VH)/靠近(VC)/水社(Nc)/遊客(Na)/中心(Nc)/乾淨(VH)/舒適(VH)/喜愛(VL)/龍貓(Nb)/主題(Na)/環境(Na)/佈置(VC)/首選(Na)
人潮下降明顯的狀況而言，建議民宿主人可以考慮降低房價。,1.0,0.0,0.0,0.0,0.0,0.0,人潮(Na)/下降(VA)/明顯(VH)/的(DE)/狀況(Na)/而言(Ng)/，(COMMACATEGORY)/建議(VE)/民宿(Nc)/主人(Na)/可以(D)/考慮(VE)/降低(VHC)/房價(Na)/。(PERIODCATEGORY),人潮(Na)/下降(VA)/明顯(VH)/狀況(Na)/而言(Ng)/建議(VE)/民宿(Nc)/主人(Na)/考慮(VE)/降低(VHC)/房價(Na)
有家的溫暖，還有5星級飯店的舒適感，更有像好友般的熱情主人，這家民宿真的很棒。,0.0,1.0,0.0,0.0,1.0,0.0,有(V_2)/家(Na)/的(DE)/溫暖(VHC)/，(COMMACATEGORY)/還(D)/有(V_2)/5星級(Na)/飯店(Nc)/的(DE)/舒適感(Na)/，(COMMACATEGORY)/更(D)/有(V_2)/像(P)/好友(Na)/般(Ng)/的(DE)/熱情(VH)/主人(Na)/，(COMMACATEGORY)/這(Nep)/家(Nf)/民宿(Nc)/真的(D)/很(Dfa)/棒(VH)/。(PERIODCATEGORY),有(V_2)/家(Na)/溫暖(VHC)/有(V_2)/5星級(Na)/飯店(Nc)/舒適感(Na)/有(V_2)/像(P)/好友(Na)/般(Ng)/熱情(VH)/主人(Na)/這(Nep)/家(Nf)/民宿(Nc)/棒(VH)
空間寬敞，燈光明亮，床墊很軟，廁所乾淨，有腳踏車可以騎，好山好水好風景,0.0,1.0,1.0,1.0,0.0,1.0,空間(Na)/寬敞(VH)/，(COMMACATEGORY)/燈光(Na)/明亮(VH)/，(COMMACATEGORY)/床墊(Na)/很(Dfa)/軟(VH)/，(COMMACATEGORY)/廁所(Nc)/乾淨(VH)/，(COMMACATEGORY)/有(V_2)/腳踏車(Na)/可以(D)/騎(VC)/，(COMMACATEGORY)/好(VH)/山(Na)/好(VH)/水(Na)/好(VH)/風景(Na),空間(Na)/寬敞(VH)/燈光(Na)/明亮(VH)/床墊(Na)/軟(VH)/廁所(Nc)/乾淨(VH)/有(V_2)/腳踏車(Na)/騎(VC)/好(VH)/山(Na)/好(VH)/水(Na)/好(VH)/風景(Na)
、烤肉和唱KTV，房間比照片大又舒適，很推薦親子或朋友一同前來！,0.0,1.0,0.0,0.0,0.0,1.0,、(PAUSECATEGORY)/烤(VC)/肉(Na)/和(Caa)/唱(VC)/KTV(FW)/，(COMMACATEGORY)/房間(Nc)/比(P)/照片(Na)/大(VH)/又(Caa)/舒適(VH)/，(COMMACATEGORY)/很(Dfa)/推薦(VC)/親子(Na)/或(Caa)/朋友(Na)/一同(D)/前來(VCL)/！(EXCLAMATIONCATEGORY),烤(VC)/肉(Na)/唱(VC)/KTV(FW)/房間(Nc)/比(P)/照片(Na)/大(VH)/舒適(VH)/推薦(VC)/親子(Na)/朋友(Na)/前來(VCL)
冰箱有免費的水和飲料，也有提供咖啡.茶包.餅乾，下次會再去住宿的。,1.0,0.0,0.0,0.0,1.0,0.0,冰箱(Na)/有(V_2)/免費(VH)/的(DE)/水(Na)/和(Caa)/飲料(Na)/，(COMMACATEGORY)/也(D)/有(V_2)/提供(VD)/咖啡(Na)/.(PERIODCATEGORY)/茶包(Na)/.(PERIODCATEGORY)/餅乾(Na)/，(COMMACATEGORY)/下(Nes)/次(Nf)/會(D)/再(D)/去(D)/住宿(VA)/的(T)/。(PERIODCATEGORY),冰箱(Na)/有(V_2)/免費(VH)/水(Na)/飲料(Na)/有(V_2)/提供(VD)/咖啡(Na)/茶包(Na)/餅乾(Na)/下(Nes)/次(Nf)/住宿(VA)
乾淨，舒適，燈光美，氣氛佳，床很軟，推薦201的中國風有按摩椅，很大的按摩浴缸,0.0,1.0,0.0,1.0,0.0,0.0,乾淨(VH)/，(COMMACATEGORY)/舒適(VH)/，(COMMACATEGORY)/燈光(Na)/美(VH)/，(COMMACATEGORY)/氣氛(Na)/佳(VH)/，(COMMACATEGORY)/床(Na)/很(Dfa)/軟(VH)/，(COMMACATEGORY)/推薦(VC)/201(Neu)/的(DE)/中國風(Na)/有(V_2)/按摩椅(Na)/，(COMMACATEGORY)/很(Dfa)/大(VH)/的(DE)/按摩(VC)/浴缸(Na),乾淨(VH)/舒適(VH)/燈光(Na)/美(VH)/氣氛(Na)/佳(VH)/床(Na)/軟(VH)/推薦(VC)/201(Neu)/中國風(Na)/有(V_2)/按摩椅(Na)/大(VH)/按摩(VC)/浴缸(Na)
房間大 品質好 裝潢質感高級而不花俏 超讚 一定會再來,0.0,1.0,0.0,0.0,0.0,0.0,房間(Nc)/大(VH)/ (WHITESPACE)/品質(Na)/好(VH)/ (WHITESPACE)/裝潢(Na)/質感(Na)/高級(VH)/而(Cbb)/不(D)/花俏(VH)/ (WHITESPACE)/超讚(Dfa)/ (WHITESPACE)/一定(D)/會(D)/再(D)/來(D),房間(Nc)/大(VH)/品質(Na)/好(VH)/裝潢(Na)/質感(Na)/高級(VH)/花俏(VH)
