X_test,y_test,pre
老闆 熱情 介紹 好多 景點 美食 飯店 環境 棒 房間 風格 喜歡,0.0,0.0
家 位置 離 梅花湖 近 騎 腳踏車 民宿 有 提供 好 騎 車子 前往,0.0,0.0
南海 飯店 員工 服務 好 係 櫃檯 職員 執房 服務員 態度 友善 親切,0.0,0.0
請 響導 到 栗松 溫泉 全 台 美 野溪 注意 房間 沒有 wifi,0.0,0.0
德國 豬腳 印象 建議 住宿 預訂 晚餐 嚐嚐 德裔 主廚 老闆 好 手藝,0.0,0.0
環境 優美 在 巷弄 裡 清淨 旅行 休息 好 地方,0.0,0.0
家庭 經營 服務 裝潢 用品 像 企業 飯店 整齊,0.0,0.0
隔音(A) 爆炸 爛 晚上 11點 聽到 大人 孩子 喧嘩聲,0.0,0.0
適合 放鬆 心情 享受 美食 地方 主人 用心 佈置 個 感受 品質 地方,0.0,0.0
房間 舒適 衛浴 設備 新 有 健身房 交誼廳 交誼廳 內 飲料 餅乾 免費 棒,1.0,1.0
棒 民宿 有 家 感覺 服務 輸 飯店 有 文青風,0.0,0.0
四 人 房 空間 大 環境 簡單 乾淨 服務 人員 親切 可惜 晚上 隔音(A) 好,0.0,0.0
旅店 位於 市中心 離 很多 景點 小吃 方便 房間 整體 不錯 窗戶 大 視野 好,0.0,0.0
古色古香 風景 漂亮 客房 舒適 浴室 水 小 用 太陽能 熱水器,0.0,0.0
老闆 手作 食物 美味 房子 乾淨 可愛 看 海 棒 享受,0.0,0.0
大直 新 去處 食物 好吃 臘腸 筆管麵 漢堡 牛排 好吃 戶外 座位 天氣 好 舒服,0.0,0.0
店主 親切 大方 房間 乾淨 明亮 衝浪 者 歇腳 休息 好 所在,0.0,0.0
房子 美 整 個 空間 舒服 全 家 住 開心 服務 好 推 推 推,0.0,0.0
熱心 重機車友 房間 乾淨 房 前 空地 烤 肉 聚餐,0.0,0.0
交通 方便 外面 有 第一 飯店 位於 巷弄 內 公園 旁邊,0.0,0.0
房間 棒 在 東海 商圈 裡頭 隔壁 住 女生 熱情 吵 之外 其他 好,0.0,0.0
飯店 業者 停車場 協調 好 讓 客人 面對 停車 費用 問題,1.0,0.0
花蓮 公東 教堂,0.0,0.0
櫃檯 早班 男 服務員 對 東南亞 外籍生 臉 臭 直接 擺 歪 嘴 嘲笑 別人,0.0,0.0
櫃檯 人員 親切 熱情 房間 設備 齊全 CP值 高 床 好 睡 間 入住 汽車 旅館,1.0,1.0
CP值 高 住宿 旅 旅店 在 墾丁 大街 上 環境 相當 好 有 提供 泡麵 零食 飲料,1.0,1.0
房間 有 小 沙發區 方便 房型 臨時 入住 選擇 有 雙床房 下 次 台中行 住,0.0,0.0
舒適 房間 親切 老闆 棒 氛圍 優 價錢,1.0,1.0
CP值 高 老闆 親切 服務 週到,1.0,1.0
不錯 民宿 房間 內 有 泡湯池 早餐 豐富 欣賞 戶外 田野 風光,0.0,0.0
停車 方便 房間 乾淨 寬敞 舒適 從 陽台 眺望到 遠方 山 民宿 主人 一 家 熱心 親切,0.0,0.0
下午茶 蛋糕 好吃 放鬆 地方,0.0,0.0
房間 看到 海 馬哥 熱情 民宿 風格 簡約 很多 ikea 東西,0.0,0.0
飯店 在 西門町 方便 逛街 服務 親切 房價 親民 cp值 高,1.0,1.0
環境 清幽 房型 舒適 獨棟(A) 別墅 火車 鐵軌 高山 雲 繞 一覽無遺,0.0,0.0
裝潢 服務 丸子 貝果 超出 五星級 美好 回憶 感受到 滿滿 青旅 溫暖,0.0,0.0
老闆 親切 景觀 美 早餐 好吃 房間 舒適 乾淨 值得 推薦,0.0,0.0
老闆 老闆娘 為人 和善好客 房間 乾淨 舒適 茶園 美 讓 人 放鬆 茶 棒 值得 推薦,0.0,0.0
老闆娘 蔡 姐 友善 親切 個 有 家 感覺 民宿 推推,0.0,0.0
風景 溫泉 現場 演奏 棒 餐廳 服務 不行,0.0,0.0
四 人 房 床 旁邊 突出 兩 個 木板 腳 容易 撞到 浴室 沒有 漱口杯 自己 拿 馬克杯 麻煩,0.0,0.0
設施 多 適合 全 家 團體 出遊 泡湯 桌菜 物美價廉 工作 人員 服務 態度 好 有 熱忱,1.0,1.0
cp值 高 早餐 宵夜 蘿蔔糕 沾 花生 辣醬 美味 生菜 沙拉 新鮮 推薦 淋 油醋醬,1.0,1.0
輕鬆 自在 老闆 客氣 環境 乾淨 地中海 希臘 風格,0.0,0.0
去 墾丁 旅遊 時 人數 建議 至 此 處 包 棟,0.0,0.0
四 人 房 大 整潔 乾淨 有 提供 嬰兒 澡盆 有 電梯 服務 親切 隔音(A) 早餐 好,0.0,0.0
交通 方便 在 捷運站 旁邊 房間 乾淨 雙人床 五 呎 六 呎 算 大 房間 空間 大,0.0,0.0
四 人 房 適合 親子 房間 大 有 陽台 老闆 人 好 借 我 電鍋 加熱 寶寶 副食品,0.0,0.0
甜點 蛋糕 包括 綠茶 白 巧克力 覆盆莓 蛋糕 鈾 香 鐵觀音 茶凍 栗子 南瓜塔,0.0,0.0
房間 整 晚 廁所 化糞池 屎味 古董 電視機 調 冷氣 30 年 前 旅社,0.0,0.0
小朋友 愛 民宿 狗狗 貓咪 棒 地方,0.0,0.0
四 人 房 驚艷 浴缸 床 好 睡 陽台 看到 部分 海景 一 分鐘 到 海邊 讚,0.0,0.0
風景 佳 環境 乾淨 整潔 適合 朋友 聚會 烤 肉 民宿 管家人 貼心 專業,0.0,0.0
cp值 高 熱水 熱 廁所 大 間 老闆 人 親切 廢話 提供 建議 實在,1.0,1.0
離 海洋 生物館 近 民宿 主人 和善 牙刷 品質 好 四 人 房 適合 家庭 住 貓咪 很多,0.0,0.0
有 交通 接送 玩 滿 身 髒 超過 退房 時間 洗 澡 離開,0.0,0.0
風景 秀麗 環境 清幽 鄰近 車站 金瓜石 博物館 情侶 家庭 適合,0.0,0.0
營地 願意 改善 訊號 衛浴 熱水 垃圾桶 我 相信 這裡 清幽 風景 好 體驗,0.0,0.0
親子房 有 和室 浴室 有 浴缸 乾 濕 分離 適合 攜帶 孩子 們 家庭,0.0,0.0
環境 乾淨 整潔 床 睡起來 舒服 浴室 乾 濕 分離 棒 整體 CP值 高,1.0,1.0
浴室 地板 有 水 容易 滑倒 有 小孩 隨行 旅客 注意 浴室 電視 看 暖氣 無 功能,0.0,0.0
乾淨 親切 服務 態度 優,0.0,0.0
服務 好 早餐 選擇 房間 棒,0.0,0.0
飄 細雨 天氣 參觀 園區 小 美 裡面 餐廳 長廊 有 不錯 景觀 有 時間 看看,0.0,0.0
櫃檯 小姐 友善 細心 介紹 周圍 小吃 環境 好 咖啡廳 蛋糕 咖啡 好吃,0.0,0.0
來 宜蘭市 住宿 首選 環境 好 服務 好 交通 方便 旁 有 戶外 停車場 旁邊 就 夜市,0.0,0.0
闆娘 漂亮 有 氣質 房間 乾淨 舒適 午後 悠閒 時光 來 杯 咖啡,0.0,0.0
房子 空間 小 電視 老舊型 空調 有 點 問題 溫度 調整 後 冷,0.0,0.0
民宿 位於 朝日 溫泉 附近 這邊 吃 店家 很少 建議 在 鬧區 用餐,0.0,0.0
房間 大 有 溜滑梯 給 孩子 玩 美中不足 浴室 浴缸,0.0,0.0
這 整修 地方 房間 四 人 房 三 張 床 2 單人床 1 雙人床,0.0,0.0
到 甚麼 噪音 有 提供 停車位 在 民宿 騎樓 老闆娘 熱情 指揮 停車,0.0,0.0
服務 好 有 人情味 在 房間 直接 看到 海景 早餐 豐富 位置 離 海洋 公園 近,0.0,0.0
淋浴 大 蓮蓬頭 按摩枕 棒 早餐 不錯 氣氛 好 桌子 低 床 容易 晃,0.0,0.0
老闆 親切 房間 乾淨 一樓 以外 樓層 wifi 訊號 差,0.0,0.0
像 日本 膠囊 旅館 距離 捷運站 近,0.0,0.0
精品 商務 旅館 旅人 家 充滿 心意 設計 地方 港墘 文德 捷運站 中間 交通 方便,0.0,0.0
老闆 親切 環境 乾淨 停車 容易 距離 彩繪 牆 最近 距離 高跟鞋 近 走 幾 分鐘 路 到,0.0,0.0
便宜 乾淨 舒適 住宿 經驗 經營 者 熱情 歡迎 我們 推薦 在地(A) 美食 清單 感謝,1.0,1.0
地點 方便 氣氛 溫馨 晚上 夜遊 天氣 好 景色 美 有 機會 訪,0.0,0.0
老闆 人 好 房間 隔音(A) 差 有 重 霉味 漏水,0.0,0.0
環境 好 狗狗 愛 撒嬌 乖 外面 道路 有 螢火蟲 看 放鬆 心情 好 地方,0.0,0.0
風景 無敵 老闆 親切 餐點 美味 觀 雲海 賞 螢火蟲 放鬆 好 地方,0.0,0.0
特別 有 提供 宵夜 澱粉類 跟 甜點 樓下 一樓 有 提供 餅乾 咖啡 飲料 坐 一下,0.0,0.0
環境 舒適 放鬆 房間 乾淨 早餐 養生 房間 隔音(A) 效果 不佳,0.0,0.0
房間 乾淨 櫃檯 人員 親切 離 夜市 跟 捷運站 算 近 位置 便利,0.0,0.0
朋友 聚會 玩樂 好 地方 空間 舒適 打麻將 唱歌 烤 肉 怕 吵到 別人,0.0,0.0
豪華 房間 大 設備 佳 泳池 高爾夫 三溫暖 運動 中心 空中 花園 早餐 咖啡 苦焦 難 喝,0.0,0.0
民宿 裝潢 有 質感 簡單 俐落 四樓 夜景 優美 老闆 闆娘 親切 台中 住宿 好 選擇,0.0,0.0
知本 小 夜市 民宿 主人 30 年 專業 按摩 老師傅 開車 累 時候 預約 按摩 讚,0.0,0.0
管家 貼心 房間 景 美 早餐 用心 有 歐洲 鄉村風,0.0,0.0
住宿 簡樸 有 人文 溫度 簡單 自然 地方 老闆 熱心 介紹 木屋 過往 一切,0.0,0.0
半夜 敲敲打打 房間 乾淨,0.0,1.0
隔音(A) 差 洗 版文 太多 一樓 餐廳 拉 桌椅 聲音 震撼 半 棟 飯店,0.0,0.0
距 花蓮 車站 近 住宿 空間 乾淨 整潔 大廳 有 原住民 藝術家 作品,0.0,0.0
橙堡 美美 有 水果 早餐 自助 多樣 中式(A) 西式餐 少 樣 蚊子 房間 好幾 隻 美中不足,0.0,0.0
浴缸 店家 標 浴缸 淋浴 說 系統 問題 系統 怎了,0.0,0.0
海景房 景 美 老闆 幫忙 找 停車位 缺點 在 老街 上方 往 上 爬 累,0.0,1.0
房間 乾淨 舒適 寧靜 安全 到 澎湖 觀光 旅遊 住宿 最佳(A) 選擇,0.0,0.0
種 遊玩 學生 照顧 幸運 與 老闆娘 結緣 一 間 棒 民宿 大推,0.0,0.0
有 素食 套餐 晚餐 風景 空氣 好 出國 台灣 美,0.0,0.0
老闆 熱情 提供 許多 美食 資訊 遊玩 景點 值得 訪,0.0,0.0
老闆 親切 房間 風景 優美 有 小 陽台 喜歡,0.0,0.0
老闆娘 親切 環境 好 裝潢 氣氛 我 目前 住 民宿 裡 給 我 感覺 好,0.0,0.0
老闆 親切 環境 整潔 適合 放鬆 交朋友 背包客棧,0.0,0.0
環境 乾淨 東西 好 下酒,0.0,0.0
小孩 適合 4 歲 以下 小孩 危險,0.0,0.0
早餐 中式(A) 稀飯 菜脯 蛋 菜脯 自己 做,0.0,0.0
棒 民宿 環境 優美 老闆 老闆娘 親切 早餐 好吃 值得 推薦 民宿,0.0,0.0
位於 市中心 交通 方便 購物 用餐 方便 服務 人員 親切 房間 靜謐 乾淨,0.0,0.0
整體 環境 不錯 設備 算 新穎 有 有 住在 四樓 有 一 個 小小 電梯,0.0,0.0
宜蘭 羅東 過夜 這 家 首選 離 夜市 近 停車 方便 環境 舒適 老闆娘 親切,0.0,0.0
老闆 人 好 房間 環境 乾淨 舒適 有 任何 問題 熱心 幫忙 解答 整體 說 滿意,0.0,0.0
有 停車場 室 內 乾淨 床 舒服 老闆 人 好 車 開進來 巷口 小 小心 行駛,0.0,0.0
適合 家族 旅遊 住宿 親子房 有 玩具 小孩 玩 開心 老闆娘 親切 熱心 推 推 推,0.0,0.0
環境 舒適 空間 寬敞 帶 狗狗 入住 老闆 親切 值得 推薦,0.0,0.0
普通 房間 整齊 外觀 不行 早餐 種類 少 算 房客 日本人 居多,0.0,0.0
晚班 小姐 服務 態度 惡劣 價格 說 依 房間 內 髒 灰塵,0.0,1.0
估計 飯店 洗 被子 服務員 在 上面 寫 房間 號碼,0.0,0.0
美麗 莊園 環境 清幽 餐點 可口 新鮮 民宿 舒適 衛生 服務 親切 週到 棒 地方,0.0,0.0
透天 裡 小 套房 下雨車 停 室 內,0.0,0.0
體驗 在地(A) 生活 超棒 民宿 歡迎 各 國 朋友 光臨,0.0,0.0
海景 山海房 一 個 好 觀賞 九份 景色 房間 房價 中上(A) 附贈 早餐 優秀,1.0,0.0
櫃臺 小姐 服務 態度 差 問 他 剩 幾 人 房 解釋 不清不楚 爛,0.0,0.0
在 花蓮縣 光復鄉 找 到 住宿 地方 這 間 將就,0.0,0.0
精緻 水果 品質 好 素 肉燥 煮 麵 澆 飯 好吃 高 樓層 風景 美 有 機會 想 入住,0.0,0.0
地點 不錯 房間 外面 有 陽台 看 海景 缺點 浴室 沐浴乳 沒 補,0.0,1.0
櫃檯 人員 親切 附近 有 廟東 夜市 美食 很多 騎 腳踏車 棒 飯店,0.0,0.0
墾丁 恆春 住宿 唯一(A) 指定 綠蝸牛,0.0,0.0
6 人 房 舒適 空間 大 一樓 有 飲水機 冰箱 方便,0.0,0.0
房間 乾淨 好 睡 房東 夫妻 好 nice 一切 棒 推薦,0.0,0.0
豪華 雙人房 空調 壞 隔音(A) 糟糕 蚊子 打 完 位子,0.0,0.0
老闆 熱情 住宿 環境 棒 有 行程 講解 活動 套票 優惠,1.0,1.0
設備 齊全 吹風機 洗衣機 有 地方 乾淨 靠近 車站,0.0,0.0
服務 態度 待 加強 今天 booking 訂房 明天 前 付 訂金 8成,0.0,0.0
老闆 人 熱情 介紹 當地 有 什麼 地方 去 下 次 來 花蓮 訂 這 間 0^ 大推,0.0,0.0
在 一樓 客廳 唯一(A) 缺點 在 巷弄 內 難找 有 停車 空間,0.0,1.0
主人 細語 態度 親切 房間 裡 有 電視 冷氣 矮桌 坐椅 衣架 設施 臥鋪 舒適,0.0,0.0
房間 乾淨 舒適 景觀 幽靜 窗 外 有 好 風景 好天氣 夕陽 美,0.0,0.0
屋主 別出心裁 用心 設計 環境 優美 溫馨 氣氛 溫暖 旅人 心,0.0,0.0
枕頭 高 看 個人 挑睡 設備 偏 老舊 人員 服務 親切,0.0,0.0
房間 乾淨 衛生 二樓 有 免費 泡麵 咖啡 汽水 服務 親切 兌換 調酒 棒,1.0,1.0
超 CP 值 好 旅館 推薦 乾淨 便宜 o 地點 近 審計 新村 美術館,1.0,1.0
房間 浴室 寬敞 乾淨 地點 方便 沐浴 用品 好用 吹風機 燒 頭髮 CP值 不錯,1.0,1.0
吃到 牛肉麵 鍋貼 滷肉飯 平價 美食 在 餐食 上 滿足,0.0,1.0
四 人 房 不錯 有 附 泡麵 餅乾 飲料 開水 池坑 大 早餐 老闆娘 做 燒餅 不錯 吃,0.0,0.0
房間 動線 規劃 有待 改善 適合 夜宿 泡 浴缸 溫泉 晚上 缺少 景點 逛,0.0,0.0
民宿 餐飲 所有 服務 採 預約制 老闆娘 料理 手藝 好 建物 內外 優雅,0.0,0.0
溫泉 不錯 點心 棒 附近 泰雅 文化 棒 老街 後面 山豬肉 香腸 讚 排隊,0.0,0.0
不錯 民宿 復古 風格 清潔 街生 方便 供應 早餐 到 羅東 值得 推薦 好 所在,0.0,0.0
路過 喝 杯 免費 咖啡 服務員 態度 友善 提供 手機 充電 有 溫度 飯店,1.0,1.0
水壓 不足 熱水 熱 大 缺點 早餐 青菜 炒麵 油膩 吃飽,0.0,1.0
空間 寬敞 燈光 明亮 床墊 軟 廁所 乾淨 有 腳踏車 騎 好 山 好 水 好 風景,0.0,0.0
吵 房 內 有 保險箱 晾 毛巾架 方便 有 小 廚房 交誼廳,0.0,0.0
環境 清幽 有 品味 放鬆 身 心靈 地方 民宿 女 主人 手沖 咖啡 讚,0.0,0.0
小木屋 附近 生態 保育 帶 小孩 認識 大自然,0.0,0.0
cp值 高 一 家 民宿 雙人房 空間 寬敞 浴室 乾 濕 分離 推推,1.0,1.0
幕 當 門 裡面 沒 梳子 沒 水 沒 椅子 low 說到 早餐 比 民宿 low,0.0,0.0
風景 幽美 靠近 湖 邊 地方 地點 適中 房間 優雅 清潔 衛生 服務 親切 高貴 貴,1.0,0.0
地點 好 交通 方便 附近 小吃 餐廳 多 床單 舒服,0.0,0.0
漂亮 第一 次 棒 房間 室外池 超大(A) 推 ktv 房,0.0,0.0
食物 以 越南 料理 為主 加 些許 美式(A) 作風,0.0,0.0
室 內 裝潢 衛生 環境 我 滿意 說 服務 品質 住宿 體驗 我 給 4 顆 星 繼續 加油,0.0,0.0
優 親子 民宿 房間 有 溜滑梯 積木 玩具 二館 有 免費 汽車 沙坑 水池,1.0,1.0
值得 推薦 飯店 會議 渡假 活動 場地 環境 寬敞 人員 親切 適合 辦理 會議 渡假 活動,0.0,0.0
大樓 裡 套房 比 預期 落差 室 內 牆壁 塗鴉 海邊 風格 不錯 陽台 高層樓 視野 美,0.0,0.0
餐廳 合菜 一 桌 2500 要求 蔬菜 多 肉 少 喜歡 吃 紅燒 豆腐 每 個 月 吃 一 次,1.0,0.0
品質 遠遠 超越 六星級 飯店 這 我 往後 南投 旅 住宿 首選 地點,0.0,0.0
環境 清幽 房間 整潔 早餐 美味 可口 咖啡 有機(A) 豆漿 好喝 讚 下 回見,0.0,0.0
偏遠 環境 清幽 房間 大 設備 齊全 早餐 以 民宿 說 豐富,0.0,0.0
六樓 直達 大廳 需要 帶 大包 小包 從 隔壁 棟 繞過來 景觀 好 早餐 品質 中下(A),0.0,0.0
車子 難 上山 景色 美不勝收 值得 讓 人 整 個 心靈 放鬆 好 地方 老闆 人 好 好客,0.0,0.0
整體 服務 住宿 品質 優 早餐 晚餐 咖啡機 西餐廳 內 咖啡 有 改進 空間,0.0,0.0
房間 舒適 鄰近 市區 民宿 後面 遠眺 廈門 夜景,0.0,0.0
全新 裝修 飯店 忙 時 老闆 泡 咖啡 請 你 喝 房價 便宜 房間 舒適 值 高,1.0,1.0
民宿 乾淨 老闆 親切 烤肉區 停車區 大 房間 環境 好 推薦 這裡,0.0,0.0
隔音(A) 差 木頭 地板 沒 人 有 聲音 廁所 衛浴 設備 沒 人 用 有 水聲,0.0,0.0
設備 部分 去 本 館 那裡 有 泳池 三溫暖 撞球 跟 Xbox360 設施,0.0,0.0
推 沒有 兩千 元 左右 cp值,1.0,1.0
點心 棒 夜晚 隔壁 KTV 聲音 聽 清楚,0.0,0.0
民宿 乾淨 舒適 民宿 主人 熱情 有趣 推薦 很多 景點 食物 不錯,0.0,0.0
房間 有 泡湯池 棒,0.0,0.0
民宿 老闆娘 熱情 環境 清幽 房間 舒適 小小 貓 互動 良好 小 狗 斑斑 照顧 旅客,0.0,0.0
地點 位於 一中 商圈 裡 逛街 方便 浴室 有 乾 濕 分離 床 舒服,0.0,0.0
溫馨 小 地方 停車 舒適,0.0,0.0
老闆 人 熱心 房間 有 大 陽台 乾淨 有 質感 有 溫度 舒服 民宿,0.0,0.0
房間 有 一 盞 燈 燈光 教 昏暗 浴室 門 附鎖 上廁所 洗澡 尷尬,0.0,0.0
環境 清幽 山景 美 浴室 乾凈 滿足 有 潔癖 職業病 我 支持 加油,0.0,0.0
在 宜蘭 眾多 無 菜單 料理 中 餐點 在 水準 之上 價格 算 合理 店 內 庭院 用餐 環境 佳,1.0,1.0
老闆 人 親切 跟 回到 自己 家 一樣 地方 偏遠 住宿 環境 好 沒有 什麼 蟻蟲,0.0,0.0
房間 乾淨 口愛 適合 小朋友 離 夜市 近 逛街 吃 美食 一點 累,0.0,0.0
錢 對 一般(A) 遊客 客氣 不得了 幫忙 開門 關門 勒 東西 雙手 奉上 阿學 生 東西 甩 桌 上,0.0,0.0
花蓮市 遠東 百貨 愛買 超市 旁邊 交通 方便 到 四樓 民宿 沒有 電梯,0.0,0.0
地點 離 機場 近 方便 民宿 房間 公用(A) 空間 乾淨 廁所 大 間,0.0,0.0
新館 舒適 價格 家庭房 3 人 1 小孩 說 算 有 浴缸 給 小朋友 泡澡 玩水,1.0,1.0
游泳池 三溫暖 室 內 有 冷氣 兒童 遊戲區 溜滑梯 滑 有 盪鞦韆 棒,0.0,0.0
房間 不錯 價格 有 露天 浴缸 感覺 舒服 空間 下 次,1.0,1.0
民宿 位置 靠近 火車站 難 找 進 民宿 覺得 美 有 花牆 適合 打卡,0.0,0.0
飯店 樓下 逢甲 夜市 位置 超棒 自助式(A) 早餐 菜色 多,0.0,0.0
環境 優 民宿 工作 人員 親切 服務 好 有 機會 住,0.0,0.0
泡湯池 大 有 景觀 天氣 好 時 看到 龜山島,0.0,0.0
隔音(A) 差 一樓 大廳 聊天 聲音 穿到 二三樓 聽 到 爛,0.0,0.0
今天 我 個資 留給 悅來 你 其他 名字 飯店 憑 甚麼 打給 我,0.0,0.0
麵 選好 配料 後 交由 服務 人員 現場 料理 後 送達 顧客 桌 上 值得 推薦,0.0,0.0
老闆 服務 棒 人 親切 房 內 環境 舒適 設備 齊全 說 缺點 離 市區 遠,0.0,1.0
結論 住宿 3 星 潛水 安排 部分 3 星 洗曬 裝備 場地 5 星 導潛 5 星,0.0,0.0
價格 平易近人 鄰近 市區 商圈 環境 簡樸 乾淨 有 預算 考量 背包客 民宿 好 選擇,1.0,1.0
老闆 美麗 大方 待人 親切 值得 住,0.0,0.0
老闆 超 好 小孩 玩 開心 大人 唱 開心 房間 乾淨 整齊,0.0,0.0
老闆 住 在 民宿 裡面 餐點 有 老闆 自己 種 菜,0.0,0.0
棒 好 早餐 澎湖 有名 早餐 房間 乾淨 冷氣 強 床 舒服,0.0,0.0
棒 地方 野菜 烤 肉 醃漬 梅子 好玩,0.0,0.0
環境 優美 房間 乾淨 庭園 漂亮 度假 不錯 選擇,0.0,0.0
CP 質 高 爆推 老闆娘 極品 海鮮粥 早餐 料 好 實在 讚,1.0,1.0
老闆娘 熱心 幫助 我們 解決 機車 出租 問題 在 市區 取 車 方便 推薦,0.0,0.0
老闆 老闆娘 親切 房間 乾淨 舒適 游泳池 乾淨 小孩 大人 開心 下 次 安排 渡假,0.0,0.0
便宜 隔音 差 房間 有 煙味 感覺 棉被 乾淨 房間 有 跳蚤 癢,1.0,1.0
有 簡單 小孩 遊戲區 有 免費 糖果 餅乾 飲料 貼心,1.0,1.0
距離 羅東 夜市 近 停車 地方 遠 房間 大 舒適 早餐 吃 外面 咖啡廳,0.0,0.0
櫃台 服務員 棒 spa 游泳池 設施 好 房間 浴室 舊,0.0,0.0
房間 內 煮飯 遊戲組 有 螞蟻 3樓 洗手台 迷你 其餘 不錯,0.0,0.0
乾淨 民宿 推薦 愛 乾淨 遊客 前往,0.0,1.0
住 想 體驗 在 虎井 住宿 虎井 有 不錯 景觀 船班 太少 可惜,0.0,0.0
房間 大 美 旁邊 夜市 商圈 火車站 夜景 不錯 隔音(A) 好,0.0,0.0
西式(A) 房間 乾淨 典雅 中島式(A) 廚房 鍋具 餐具 齊全 自己 下廚 方便,0.0,0.0
鬼屋 跟 照片 不符 廁所 衛生,0.0,0.0
老闆 熱情 老闆娘 料理 手藝 讚 環境 幽美 有 家 感覺,0.0,0.0
老闆 老闆娘 人 親戚 好 老闆娘 漂亮 有 活力 料理 餐點,0.0,0.0
櫃檯 人員 服務 好 態度 親切 大廳 冷氣 涼 看到 櫃檯員 吹 電風扇 心疼,0.0,0.0
民宿 乾淨 收費 親民 主人 熱心 狗狗 熱情,1.0,1.0
房間 乾淨 離 羅東 夜市 算 近 騎車 一下 到,0.0,0.0
舒適 衛生 機能性 佳 逛 安平 吃 美食 便利,0.0,0.0
鎖港 山水 沙灘 附近 有 潛點 騎車 5 分鐘 距離 算 方便 潛水,0.0,0.0
第一 個 房間 有 前 位 客人 遺留物 想 用 房 內 電話 客服 反應 電話 打 通 下樓,0.0,0.0
巴里島 風格 裝潢 寬敞 泡湯 空間 可惜 沒有 停車場 夜晚 清晨 房間 溫度 偏低,0.0,0.0
房間 新 設備 好 廁所 有 厲害 免治(A) 馬桶 在 日本 飯店 有 看過 這 種 規格,0.0,0.0
服務 棒 室 內 裝潢 有 特色 可惜 浴室 沒有 擺 盥洗 用具 地方,0.0,0.0
乾淨 停車 方便 住 那 天 房價 便宜 房間 外觀 可愛,1.0,1.0
房間 乾淨 早餐 有 咖啡 醬菜 魯肉 飯 稀飯 青菜 冷氣 浴ok,0.0,0.0
服務 超棒 門房 阿伯 有 活力 親切 整 個 大眾 女湯 設備 空間 寬敞 宜人,0.0,0.0
距離 安平 古蹟 景點 最近 四星(A) 飯店 高貴 貴 我們 家 住 面河 景觀房,1.0,0.0
房間 乾淨 舒適 老闆 老闆娘 人 超 好 熱情 溫暖 充滿 人情味 一 間 民宿,0.0,0.0
新 乾淨 老闆 親切 平價 衝 老闆 歡迎 毛小孩 下 回 來 花蓮 首,1.0,1.0
位在 繁華 商圈 房間 乾淨 整潔 櫃檯 人員 親切 附 早餐 送到 房 棒 商旅 入住,0.0,0.0
民宿 房間 非 獨棟(A) 木屋 環境 清潔 加強 收費 高,1.0,0.0
停車 方便 夜市 旁邊 覓食 容易 早餐 簡單 電視 頻道 沒有 Good TV,0.0,0.0
老闆娘 人 好 溝通 加床 收 早餐 毛巾 費用 住 附近 有事 請求 快 到,1.0,0.0
睡眠 品質 好 枕頭 硬 隔音(A) 差 點心區 不錯 總體 說 好,0.0,0.0
進 屋 煙味 棉被 有 煙味 樓上 洗衣 滴水 到 冷氣 吵到 醒來,0.0,0.0
設施 所 設備 服務 人員 態度 房間 整潔 餐廳 菜色 有 達 一定(A) 水準 飯店,0.0,0.0
風景 棒 看 夜景 空間 大 房間 大 老闆 熱情 介紹 景點,0.0,0.0
