reviews,value,comfort,location,cleanliness,service
"['舊', '飯店', '空間', '配置', '不', '擁擠', '有', '免費', '餅乾', '茶包', '咖啡包', '附近', '有', '夜市', '可是', '好像', '不', '熱鬧']",1.0,1.0,1.0,0.0,1.0
"['陸客團', '的', '住宿', '飯店', '有', '大型', '停車場', '距離', '嘉義', '車站', '不遠']",0.0,1.0,1.0,0.0,0.0
"['交通', '位置', '很', '好', '老闆', '很', 'nice', '推薦', '很多', '美食', '浮潛', '行程', '也', '很', '棒', '下', '次', '還', '想', '再', '來']",0.0,1.0,1.0,0.0,1.0
"['老闆', '人', '很', '熱心', '房間', '都', '有', '大', '陽台', '很', '乾淨', '有', '質感', '是', '很', '有', '溫度', '舒服', '的', '民宿']",0.0,1.0,0.0,1.0,1.0
"['門口', '除了', '有', '隱藏', '鞋櫃', '和', '人工', '草皮', '外', '還', '有', '一', '個', '沖', '水', '的', '空間', '民宿', '內', '的', '用品', '品質', '相當', '不錯']",0.0,1.0,0.0,0.0,0.0
"['二', '特區', '還', '能', '體驗', '輕軌', '鐵道', '感受', '港都', '高雄', '多樣化', '的', '魅力', '真心', '推薦']",0.0,0.0,1.0,0.0,0.0
"['很', '棒', '的', '藝術', '空間', '不止', '可以', '吃', '東西', '也', '能', '住宿', '定期', '也', '會', '有', '不同', '的', '展覽', '而且', '老闆娘', '超正', '的']",0.0,1.0,0.0,0.0,1.0
"['有', '溫暖', '有', '內涵', '的', '民宿', '值得', '再次', '來', '放鬆', '渡假', '極力', '推薦', '超讚']",0.0,0.0,0.0,0.0,1.0
"['餐點', '用心', '精緻', '可以', '感受', '女', '老闆', '對於', '食材', '的', '要求', '店', '內', '還', '有', '貼心', '的', '情人節', '活動', '玩', '得', '很', '開心']",0.0,1.0,0.0,0.0,1.0
"['的', '九', '份', '美食', '絕對', '是', '必', '吃', '中', '的', '必', '吃', '房間', '乾淨', '舒適', '程度', '媲美', '五星級', '飯店']",0.0,1.0,0.0,1.0,0.0
"['很多', '貼心', '的', '細節', '靜待', '來客', '體會', '感覺', '得', '到', '老闆', '花', '了', '很多', '心思', '提供', '旅人', '舒適', '的', '住宿', '空間']",0.0,1.0,0.0,0.0,1.0
"['地點', '不錯', '房間', '外面', '有', '陽台', '可以', '看', '海景', '缺點', '就', '是', '浴室', '的', '沐浴乳', '快', '沒', '了', '沒有', '補']",0.0,1.0,1.0,0.0,1.0
"['裝潢', '與', '設備', '還', '不錯', '但', '清潔度', '欠佳', '房間', '地板', '桌子', '床頭', '椅子', '都', '是', '沙子', '浴缸', '還', '有', '些', '頭髮']",0.0,1.0,0.0,1.0,0.0
"['早餐', '簡單', '2', '風景', '5', '房型', '風格', '5', '隔音', '3', '停車', '方便', '8']",0.0,1.0,1.0,0.0,1.0
"['老闆娘', '很', '親切', '漂亮', '會', '介紹', '美食', '及', '旅遊', '地點', '民宿', '在', '庭院', '有', '收養', 'ㄧ', '隻', '流浪', '貓咪', '很', '可愛']",0.0,0.0,0.0,0.0,1.0
"['離', '中', '與', '停車場', '超', '近', '的', '民宿', '房間', '乾淨', '而', '最', '令', '人', '滿意', '的', '是', '老闆娘', '無比', '親切', '熱情', '的', '服務']",0.0,0.0,1.0,1.0,1.0
"['地點', '很', '棒', '靠近', '水社', '遊客', '中心', '乾淨', '舒適', '喜愛', '龍貓', '主題', '環境', '佈置', '的', '首選']",0.0,1.0,1.0,1.0,0.0
"['人潮', '下降', '明顯', '的', '狀況', '而言', '建議', '民宿', '主人', '可以', '考慮', '降低', '房價']",1.0,0.0,0.0,0.0,0.0
"['有', '家', '的', '溫暖', '還', '有', '5星級', '飯店', '的', '舒適感', '更', '有', '像', '好友', '般', '的', '熱情', '主人', '這', '家', '民宿', '真的', '很', '棒']",0.0,1.0,0.0,0.0,1.0
"['空間', '寬敞', '燈光', '明亮', '床墊', '很', '軟', '廁所', '乾淨', '有', '腳踏車', '可以', '騎', '好', '山', '好', '水', '好', '風景']",0.0,1.0,1.0,1.0,0.0
"['烤', '肉', '和', '唱', 'KTV', '房間', '比', '照片', '大', '又', '舒適', '很', '推薦', '親子', '或', '朋友', '一同', '前來']",0.0,1.0,0.0,0.0,0.0
"['冰箱', '有', '免費', '的', '水', '和', '飲料', '也', '有', '提供', '咖啡', '茶包', '餅乾', '下', '次', '會', '再', '去', '住宿', '的']",1.0,0.0,0.0,0.0,1.0
"['乾淨', '舒適', '燈光', '美', '氣氛', '佳', '床', '很', '軟', '推薦', '201', '的', '中國風', '有', '按摩椅', '很', '大', '的', '按摩', '浴缸']",0.0,1.0,0.0,1.0,0.0
"['房間', '大', '品質', '好', '裝潢', '質感', '高級', '而', '不', '花俏', '超讚', '一定', '會', '再', '來']",0.0,1.0,0.0,0.0,0.0
"['有', '不少', '可愛', '不', '怕生', '的', '貓咪', '業者', '本身', '還', '經營', '餐廳', '和', '島', '上', '旅遊', '行程', '以及', '機車', '出租']",0.0,1.0,0.0,0.0,0.0
"['雖然', '還', '沒有', '住', '過', '不過', '很', '想', '體驗', '在', '虎井', '的', '住宿', '虎井', '有', '不錯', '的', '景觀', '船班', '太少', '可惜']",0.0,0.0,1.0,0.0,0.0
"['樓下', '來來', '鮮魚湯', '是', '老闆', '開', '的', '可', '吃飯', '也', '有', '機車', '可', '租', '房客', '優惠', '50', '元', '非常', '方便']",1.0,1.0,0.0,0.0,1.0
"['旅館', '有', '些', '老舊', '房間', '不大', '有', '溫泉池', '但是', '沒', '溫泉', '冬天', '看', '海浪', '夏日', '比較', '好', '吧']",0.0,1.0,0.0,0.0,0.0
"['25', '坪', '的', '原木', '裝潢', '外面', '露台', '有', '2', '張', '躺椅', '可以', '看到', '遠處', '海邊', '庭院', '整', '個', '景色', '很', '愜意', '優美']",0.0,1.0,1.0,0.0,0.0
"['放空', '咖啡', '夕陽', '海景', '只', '能', '給', '它', '滿分']",0.0,0.0,1.0,0.0,1.0
"['地點', '很', '棒', '距離', '捷運站', '500', '公尺', '旁邊', '有', '便利商店', '餐廳', '酒吧', '林立', '離', '百貨', '商圈', '也', '不遠']",0.0,0.0,1.0,0.0,0.0
"['室', '內', '裝潢', '與', '衛生', '環境', '我', '很', '滿意', '但', '說', '服務', '品質', '與', '住宿', '體驗', '我', '給', '4', '顆', '星', '可以', '再', '繼續', '加油']",0.0,1.0,0.0,1.0,1.0
"['但是', '房間', '及', '衛浴', '完全', '沒有', '放置', '物品', '及', '掛', '衣服', '的', '地方', '有待', '改善']",0.0,1.0,0.0,0.0,0.0
"['民宿', '位於', '朝日', '溫泉', '附近', '這邊', '吃', '的', '店家', '很少', '建議', '在', '鬧區', '先', '用餐']",0.0,0.0,1.0,0.0,0.0
"['房間', '十分', '舒適', '不過', '距離', '市區', '頗', '遠', '的', '因為', '住宿', '並', '未', '有', '附', '早餐', '可能', '會', '有點', '不便']",0.0,1.0,1.0,0.0,1.0
"['老闆', '非常', '熱情', '住宿', '環境', '很', '棒', '還', '有', '行程', '講解', '活動', '套票', '非常', '優惠']",1.0,1.0,0.0,0.0,1.0
"['逛街', '購物', '蛋黃區', '設備', '還可以', '若', '有', '開車', '建議', '早', '到', '才', '能', '有', '位子', '停車']",0.0,1.0,1.0,0.0,0.0
"['這', '家', '是', '我', '在', '住', '過', '最', '爛', '的', '旅館', '房間', '非常', '小', '早餐', '是', '我', '吃', '過', '最', '爛', '的']",0.0,1.0,0.0,0.0,1.0
"['水龍頭', '水', '超級', '小', '隔音', '差', '壁紙', '掉落', '冰箱', '還', '有', '上', '一', '位', '客人', '飲品']",0.0,1.0,0.0,1.0,0.0
"['房間', '舒適', '乾淨', '環境', '令', '人', '放鬆']",0.0,1.0,0.0,1.0,0.0
"['老闆', '跟', '老闆娘', '很', '親切', '推薦']",0.0,0.0,0.0,0.0,1.0
"['風景', '優美', '民宿', '整齊', '清潔', '老闆', '很', '親切']",0.0,0.0,1.0,1.0,1.0
"['普通', '房間', '整齊', '但', '外觀', '實在', '不行', '早餐', '種類', '少', '但', '還', '算', '可以', '房客', '幾乎', '日本人', '居多']",0.0,1.0,0.0,1.0,1.0
"['乾淨', '舒適', '服務', '親切', '有', '腳踏車', '可以', '借', '唯獨', '電視', '品質', '普通', '大多', '為', '衛星', '日本', '電視']",0.0,1.0,0.0,1.0,1.0
"['四', '人', '房', '空間', '滿', '大', '的', '環境', '簡單', '乾淨', '服務', '人員', '也', '親切', '只', '可惜', '晚上', '的', '隔音', '很', '不', '好']",0.0,1.0,0.0,1.0,1.0
"['三樓', '屋頂', '很', '適合', '看', '海', '很', '棒', '的', '地方', '服務', '親切', '房間', '安靜']",0.0,1.0,1.0,0.0,1.0
"['地點', '離', '機場', '很', '近', '非常', '方便', '民宿', '房間', '和', '公用', '空間', '都', '很', '乾淨', '廁所', '很', '大', '間']",0.0,1.0,1.0,1.0,0.0
"['頂樓', '就', '能', '放空', '發呆', 'cp值', '高', '的', '好', '民宿', '小', '管家', '很', '和善', '對', '房客', '很', '好']",1.0,1.0,0.0,0.0,1.0
"['有', '家', '的', '溫暖', '飯店', '的', '舒適', '還', '有', '小', '管家', '親切', '的', '招待', '有', '機會', '一定', '會', '再', '去', '拜訪']",0.0,1.0,0.0,0.0,1.0
"['環境', '清幽', '房型', '舒適', '獨棟', '別墅', '火車', '鐵軌', '高山', '雲', '繞', '一覽無遺']",0.0,1.0,1.0,0.0,0.0
"['室', '內', '迴音', '有點', '大', '但', '整體', '上', '還是', '值得', '推薦', '的', '好', '民宿']",0.0,1.0,0.0,0.0,0.0
"['隔音', '差', '晚上', '聽', '得', '到', '隔壁', '房間', '的', '聲音', '早上', '更', '是', '被', '隔壁', '建築', '的', '施工', '噪音', '吵到', '不能', '睡覺']",0.0,1.0,0.0,0.0,0.0
"['近', '捷運站', '服務', '親切', '環境', '舒適', '早餐', '提供', '吐司', '自理']",0.0,1.0,1.0,0.0,1.0
"['三樓', '廁所', '空間', '偏', '小', '但是', '是', '免治', '馬桶', '品質', '很', '不錯']",0.0,1.0,0.0,0.0,0.0
"['只有', '吵', '沒有', '停車位', '沒有', '晚餐', '早餐', '房間', '很', '小', '透天厝']",0.0,1.0,0.0,1.0,0.0
"['多', '3', '個', '小孩', '每', '人', '加收', '300', '沒', '多', '備品', '沒', '多', '床', '老闆', '很', '愛', '錢']",1.0,1.0,0.0,0.0,0.0
"['簡單', '乾淨', '店員', '很', '像', '韓國', '的', '花美男']",0.0,0.0,0.0,1.0,1.0
"['菜', '西式', '只有', '自助', '烤', '吐司', '提供', '花生', '跟', '草莓', '抹醬', '飲料', '是', '冰', '紅茶', '跟', '三合一', '熱', '咖啡']",0.0,0.0,0.0,0.0,1.0
"['乾淨', '雙人房', '空間', '較', '小', '隔音', '效果', '稍', '差', '早餐', '的', '選擇性', '沒', '那麼多']",0.0,1.0,0.0,1.0,0.0
"['南海', '飯店', '員工', '服務', '好', '無論', '係', '櫃檯', '職員', '執房', '服務員', '態度', '友善', '親切']",0.0,0.0,1.0,0.0,1.0
"['服務', '超棒', '尤其', '是', '門房', '的', '阿伯', '非常', '有', '活力', '又', '很', '親切', '整', '個', '大眾', '女湯', '設備', '空間', '皆', '寬敞', '宜人']",0.0,1.0,0.0,0.0,1.0
"['大眾池', '泡湯', '宛如', '置身', '日本餐', '的', '食材', '跟', '手藝', '都', '好', '台北', '近郊', '放鬆', '身心', '的', '好', '選擇']",0.0,1.0,0.0,0.0,1.0
"['路過', '喝', '杯', '免費', '咖啡', '服務員', '態度', '友善', '並', '提供', '手機', '充電', '有', '溫度', '的', '飯店', '啊']",1.0,0.0,0.0,0.0,1.0
"['熱情', '的', '老闆娘', '招待', '很', '周到', '環境', '也', '很', '舒適', '尤其', '裡面', '的', '大', '草皮', '很', '適合', '親子', '活動']",0.0,1.0,0.0,0.0,1.0
"['民宿', '及', '餐飲', '所有', '服務', '均', '採', '預約制', '老闆娘', '料理', '手藝', '很', '好', '建物', '內外', '都', '很', '優雅']",0.0,1.0,0.0,0.0,1.0
"['下午茶', '蛋糕', '好吃', '很', '放鬆', '的', '地方']",0.0,0.0,0.0,0.0,1.0
"['素食', '便當', '的', '湯', '好喝', '旅行社', '定價', '400', '的', '晚餐', '但', '菜色', '口味', '價值', '與', '誠意', '皆', '不足']",1.0,0.0,0.0,0.0,1.0
"['房間', '普通', '不過', '櫃檯', '都', '很', '親切', '也', '很', '貼心', '會', '介紹', '附近', '景點', '等等']",0.0,1.0,0.0,0.0,1.0
"['出菜', '速度', '快', '菜品', '不錯', '服務', '人員', '態度', '良好']",0.0,0.0,0.0,0.0,1.0
"['民宿', '景美', '但', '房間', '設施', '比較', '老舊', '熱水', '不', '是', '很', '穩', '服務', '人員', '親切', '早餐', '是', '自助式', '餐點', '美味']",0.0,1.0,1.0,0.0,1.0
"['環境', '乾淨', '價錢', '合理', '老闆', '員工', '親切', '有禮', '太平山', '之', '旅', '很', '好', '的', '選擇']",1.0,0.0,1.0,1.0,0.0
"['環境', '清幽', '山景', '很', '美', '浴室', '超', '乾凈', '能', '滿足', '有', '潔癖', '職業病', '的', '我', '真的', '要', '大力', '支持', '加油']",0.0,0.0,1.0,1.0,0.0
"['服務', '很', '親切', '附近', '都', '有', '攤販', '店家', '吃', '很', '方便', '房間', '也', '很', '乾凈', '早餐', '好吃', '推薦', '入住']",0.0,0.0,0.0,1.0,1.0
"['停車', '位置', '只有', '門', '前', '及', '旅店', '後方', '空地', '若是', '停滿', '只好', '另', '尋', '車位', '了', '較', '不', '方便']",0.0,1.0,0.0,0.0,0.0
"['枕頭', '偏', '高', '看', '個人', '有', '沒', '有', '挑', '睡', '設備', '偏', '老舊', '人員', '服務', '親切']",0.0,1.0,0.0,0.0,1.0
"['區', '南海', '遊客', '中心', '10多', '分', '的', '距離', '住起來', '很', '舒服', '會', '想', '再', '來', '住']",0.0,1.0,1.0,0.0,0.0
"['還', '都', '是', '螞蟻房', '內', '水', '忽', '大', '忽', '小', '甚至', '黃黃', '的', '要價', '5800', '有夠', '坑', '800', '價值', '還', '差不多']",1.0,1.0,0.0,1.0,0.0
"['請', '大家', '去', '找', '更', '好', '更', '值得', '您', '花錢', '的', '民宿', '踩', '雷', '別', '怪', '我', '沒', '提醒', '喔喔', '喔喔', '喔', '喔', '喔喔', '喔喔', '喔', '喔喔']",1.0,0.0,0.0,0.0,0.0
"['環境', '清幽', '房間', '整潔', '早餐', '美味', '可口', '咖啡', '有機', '豆漿', '好喝', '讚', '下', '回', '見']",0.0,0.0,1.0,1.0,1.0
"['乾淨', '舒適', '玻璃屋', '和', '草坪', '悠閒', '時光', '的', '好', '地方']",0.0,1.0,0.0,1.0,0.0
"['房間', '沒', '電視', '沒', '冰箱', '浴室', '共用', 'cp值', '太', '低']",1.0,1.0,0.0,0.0,0.0
"['二樓', '岑嵐', '的', '窗戶', '看', '得', '到', '美景', '晚上', '老闆', '煮', '的', '黑糖', '芋圓', '超', '好吃', '早餐', '的', '蒸', '蛋', '也', '是', '超棒', '的']",0.0,0.0,1.0,0.0,1.0
"['房間', '不大', '可是', '感覺', '質感', '很', '好', '民宿', '業者', '很', '貼心', '的', '幫', '我們', '找', '停車位', '用心', '介紹', '九份', '景點']",0.0,1.0,0.0,0.0,1.0
"['老闆', '和', '老闆娘', '人', '很', '親戚', '很', '好', '老闆娘', '很', '漂亮', '有', '活力', '又', '很', '會', '料理', '餐點']",0.0,0.0,0.0,0.0,1.0
"['房間', '明亮', '寬敞', '乾淨', '浴缸', '佳', '水壓', '真', '舒適', '主人', '親切', '服務', '勤快', '寶貝', '愛車', '停車', '便利']",0.0,1.0,0.0,0.0,1.0
"['隔', '音差', '一樓', '大廳', '聊天', '的', '聲音', '一直', '穿到', '二三樓', '都', '聽', '的', '到', '爛', '透', '了']",0.0,1.0,0.0,0.0,0.0
"['地點', '在', '鬧區', '購物', '用餐', '都', '很', '近', '走路', '即可', '四', '人', '房', '大', '又', '乾淨', '舒服', '很', '棒', '的', '民宿', '推']",0.0,1.0,1.0,1.0,0.0
"['房價', '親民', '老闆', '親切']",1.0,0.0,0.0,0.0,1.0
"['價格', '平價', '五星級', '服務']",1.0,0.0,0.0,0.0,1.0
"['不', '推薦', '各位', '建議', '其他']",0.0,0.0,0.0,0.0,0.0
"['有', '平面', '停車場', '早餐', '宵夜', '都', '有', '素食區', '餐廳', '經理', '服務', '很', '熱沉', '房間', '乾淨', '舒適']",0.0,1.0,0.0,1.0,1.0
"['cp值', '高', '早餐', '宵夜', '蘿蔔糕', '沾', '花生', '辣醬', '超', '美味', '生菜', '沙拉', '很', '新鮮', '推薦', '淋', '油醋醬']",1.0,0.0,0.0,0.0,1.0
"['最', '特別', '是', '有', '提供', '宵夜', '澱粉類', '跟', '甜點', '樓下', '一樓', '有', '提供', '餅乾', '跟', '咖啡', '飲料', '可以', '坐', '一下']",0.0,0.0,0.0,0.0,1.0
"['兩', '位', '年輕', '的', '老闆娘', '非常', '熱情', '房間', '很', '舒服', '民宿', '有', '電梯', '早餐', '是', '馬祖', '特色', '繼光餅']",0.0,1.0,0.0,0.0,1.0
"['老闆', '爸', '媽', '一家人', '有', '問', '必', '答', '很', '親切', '也', '隨時', '注意', '班機', '狀況', '給予', '建議', '是', '一', '間', '有', '溫度', '的', '住宿']",0.0,0.0,0.0,0.0,1.0
"['房間', '很', '新', '設備', '很', '好', '廁所', '還', '有', '很', '厲害', '的', '免治', '馬桶', '只有', '在', '日本', '飯店', '有', '看過', '這', '種', '規格']",0.0,1.0,0.0,0.0,0.0
"['地點', '很', '好', '近', '交流道', '臨近', '傳藝', '風景', '怡人', '造景', '漂亮', '有', '船', '可', '划', '房間', '溫馨', '老闆', '熱情']",0.0,1.0,1.0,0.0,1.0
"['戶外', '設施', '沒', '人', '在', '養護', '泳池', '都', '變成', '綠色', '了', '烤', '肉', '等', '戶外', '活動', '還', '得', '加', '錢', '真的', '不', '推薦']",1.0,1.0,0.0,1.0,0.0
"['歐洲', '風情', '美', '老闆', '很', '親切', '一望無際', '視野', '可', '眺望', '龜山島', '五星級', '民宿']",0.0,0.0,1.0,0.0,1.0
"['附近', '可以', '去', '吃', '民雄', '鵝肉亭', '花亭', '壽司', '廟', '前', '碳烤', '雞排', '連長', '水餃']",0.0,0.0,1.0,0.0,0.0
"['食材', '新鮮', '生魚片', '和', '肉類', '料理', '都', '很', '美味', '餐廳', '環境', '適合', '久', '坐', '聊天', '也', '有', '賣', '很多', '辦手禮']",0.0,1.0,0.0,0.0,1.0
"['有', '停車場', '服務', '人員', '超讚', '今日', '吃', '蔬食餐', '菜色', '非常', '棒', '下', '次', '還', '會', '再', '來']",0.0,1.0,0.0,0.0,1.0
"['獨立', '空間', '房間', '乾淨', '頂樓', '設置', '室', '外', '浴缸', '很', '特別']",0.0,1.0,0.0,1.0,0.0
"['老闆娘', '很', '親切', '環境', '非常', '好', '裝潢', '氣氛', '是', '我', '目前', '住', '過', '的', '民宿', '裡', '給', '我', '感覺', '最', '好']",0.0,1.0,1.0,1.0,0.0
"['民宿', '乾淨', '舒適', '民宿', '主人', '很', '熱情', '有趣', '推薦', '很多', '景點', '與', '食物', '都', '非常', '不錯', '喔']",0.0,1.0,0.0,1.0,1.0
"['和', '盥洗', '用品', '浴室', '有', '附', '洗衣機', '跟', '烘衣機', '為', '投幣式', '早餐', '有', '粥品', '跟', '吐司', '麵包', '果醬']",0.0,1.0,0.0,0.0,1.0
"['很', '有', '設計感', '服務', '人員', '親切', '外部', '裝潢', '美', '不過', '房間', '內部', '就', '較', '老舊', '了']",0.0,1.0,0.0,0.0,1.0
"['優點', '離', '車站', '10', '分鐘', '附近', '是', '飾品', '批發', '區域', '到', '寧夏', '夜市', '也', '方便']",0.0,0.0,1.0,0.0,0.0
"['空間', '寬敞', '主人', '對', '庭園', '經營', '很', '用心', '種植', '很多', '種類', '的', '植物', '與', '樹', '照顧', '動物', '們', '也', '非常', '慈愛']",0.0,1.0,0.0,0.0,0.0
"['住宿', '周遭', '的', '生態環境', '優美', '但', '兩', '人', '房', '內', '沒有', '沙發', '或', '椅子', '電視', '的', '頻道', '選擇', '也', '不', '多']",0.0,1.0,1.0,0.0,0.0
"['房間', '乾淨', '好', '睡', '房東', '夫妻', '也好', 'nice', '一切', '都', '很', '棒', '推薦']",0.0,1.0,0.0,1.0,1.0
"['老闆', '親切', '熱情', '房間', '雖', '較', '老舊', 'ㄧ些', '但', '窗', '外', '海景', '還是', '很', '棒', '值得']",0.0,1.0,1.0,0.0,1.0
"['態度', '親切', '推薦', '景點', '一', '飽', '馬祖', '得天獨厚', '地理', '景觀', '輕鬆', '旅遊']",0.0,0.0,0.0,0.0,1.0
"['老闆', '很', '熱心', '親切', '提供', '機場', '接送', '而且', '租借', '的', '機車', '都', '是', '全新', '的', '感謝', '老闆', '這', '幾', '天', '的', '照顧']",0.0,0.0,0.0,0.0,1.0
"['接', '電話', '小姐', '超棒', '服務', '也', '一級', '棒', '隔音', '效果', '好', '床', '和', '枕頭', '好', '睡', '房間', '也', '乾淨', '舒服', '值得', '再', '訪']",0.0,1.0,0.0,1.0,1.0
"['飯店', '通常', '都', '是', '業者', '和', '停車場', '協調好', '不會', '讓', '客人', '自行', '面對', '停車', '費用', '問題']",1.0,0.0,0.0,0.0,0.0
"['週日', '晚', '1700', '入住', 'CP', '值', '極', '高', '早餐', '中西', '葷', '素', '咖啡', '豆漿', '果汁', '奶茶', '熱湯', '應有盡有']",1.0,0.0,0.0,0.0,1.0
"['如果', '營地', '願意', '改善', '訊號', '衛浴', '熱水', '垃圾桶', '我', '相信', '這裡', '的', '清幽', '和', '風景', '會', '是', '很', '好', '的', '體驗']",0.0,1.0,1.0,0.0,0.0
"['的', '桌菜', '份量', '也', '很少', '好多', '露友', '都', '說', '吃', '不', '飽']",0.0,0.0,0.0,0.0,1.0
"['水管', '爆掉', '三', '次', '好', '可怕', '完全', '沒', '訊號', '不能', '即時', '聯絡', '老闆']",0.0,1.0,0.0,0.0,0.0
"['大廳', '是', '工業風', '設計', '可以', '享用', '好吃', '的', '餐點', '綠島', '很', '熱', '吃飯', '有', '冷氣', '真的', '超讚']",0.0,1.0,0.0,0.0,1.0
"['環境', '舒適', '房', '內', '乾淨', '寬敞', '家庭房', '還', '有', '按摩', '浴缸', '老闆', '親切', '地點', '優', '潛水', '非常', '方便']",0.0,1.0,1.0,1.0,1.0
"['熱情', '的', '老闆', '超', '舒適', '的', '用餐', '休息區', '乾淨', '又', '大', '的', '淋浴', '空間', '推推']",0.0,1.0,0.0,1.0,1.0
"['民宿', '主人', '很', '親切', '全', '柚木', '裝潢', '房間', '質感', '佳', '已經', '回', '三', '訪', '嘍', '還是', 'ㄧ樣', '很', '有', '品質']",0.0,1.0,0.0,0.0,1.0
"['一', '間', '有', '溫度', '的', '民宿', '能', '從', '房子', '裡', '的', '每', '一', '個', '細節', '感受到', '老闆', '與', '闆娘', '對', '房子', '的', '用心']",0.0,0.0,0.0,0.0,1.0
"['5', '建議', '老板', '可以', '提供', '單車', '租借', '服務量', '不用', '多意思', '意思', '三四', '輛', '隨緣', '用']",0.0,1.0,0.0,0.0,0.0
"['老闆娘', '蔡姐', '非常', '友善', '且', '親切', '是', '個', '有', '家', '的', '感覺', '的', '民宿', '推推']",0.0,0.0,0.0,0.0,1.0
"['更', '好', '是', '下', '次', '到訪', '台東', '可', '再', '考慮', '入住', '的', '民宿', '喔']",0.0,0.0,0.0,0.0,0.0
"['乾淨', '闆娘', '親切', '又', '和藹', '可以', '帶', '毛', '小孩', '喔']",0.0,0.0,0.0,1.0,1.0
"['房間', '很', '舒適', '老闆', '人', '很', '親切', '花蓮', '美食', '私房', '景點', '找', '老闆', '就', '對', '了']",0.0,1.0,0.0,0.0,1.0
"['一樓', '大廳', '還', '有', '提供', '飲水', '咖啡', '茶包', '等', '自由', '使用']",0.0,0.0,0.0,0.0,1.0
"['在', '網路', '訂房', '及', '電話', '確認', '訂房', '時', '均', '未', '主動', '告知', '未', '提供', '盥洗', '用具', '以及', '毛巾', '浴巾', '必需', '自備']",0.0,1.0,0.0,0.0,1.0
"['民宿', '非常', '乾淨', '老闆', '很', '親切', '烤肉區', '跟', '停車區', '都', '很', '大', '房間', '環境', '很', '好', '非常', '推薦', '這裡', '哦', '哦', '哦']",0.0,1.0,0.0,1.0,1.0
"['房間', '乾淨', '整齊', '物美價廉', '適合', '全', '家', '大小', '及', '朋友', '來', '宜蘭', '遊玩', '時', '又', '有', '個', '好', '的', '睡眠', '品質', '推推']",1.0,1.0,0.0,1.0,0.0
"['房間', '乾淨', '但', '房價', '稍', '高', '浴室', '備品量', '不足', '洗髮精', '跟', '沐浴乳', '都', '太', '小', '包']",1.0,1.0,0.0,1.0,0.0
"['房間', '很', '大', '又', '乾淨', '大廳', '有', '書', '有', '玩', '的', '很', '棒', '晚餐', '五', '菜', '一', '湯', '800', '元', 'CP值', '高']",1.0,1.0,0.0,1.0,1.0
