reviews,value,comfort,location,cleanliness,service
"附近可以去吃民雄鵝肉亭，花亭壽司，廟前碳烤雞排，連長水餃	",0,0,1,0,0
"食材新鮮生魚片和肉類料理都很美味，餐廳環境適合久坐聊天。也有賣很多辦手禮。	",0,1,0,0,1
"有停車場，服務人員超讚，今日吃蔬食餐，菜色非常棒，下次還會再來。	",0,1,0,0,1
"獨立空間，房間乾淨，頂樓設置室外浴缸，很特別！	",0,1,0,1,0
"老闆娘很親切，環境非常好，裝潢氣氛是我目前住過的民宿裡給我感覺最好	",0,1,1,1,0
"民宿乾淨、舒適。民宿主人很熱情。有趣。推薦很多景點與食物。都非常不錯喔！	",0,1,0,1,1
"和盥洗用品浴室有附，洗衣機跟烘衣機為投幣式。早餐有粥品跟吐司麵包果醬。	",0,1,0,0,1
"很有設計感，服務人員親切，外部裝潢美，不過房間內部就較老舊了。	",0,1,0,0,1
"優點：離車站10分鐘附近是飾品批發區域。到寧夏夜市也方便。	",0,0,1,0,0
"空間寬敞，主人對庭園經營很用心，種植很多種類的植物與樹，照顧動物們也非常慈愛！	",0,1,0,0,0
"住宿周遭的生態環境優美，但兩人房內沒有沙發或椅子，電視的頻道選擇也不多	",0,1,1,0,0
"房間乾淨好睡，房東夫妻也好nice，一切都很棒，推薦！	",0,1,0,1,1
"老闆親切熱情！房間雖較老舊ㄧ些，但窗外海景還是很棒，值得！	",0,1,1,0,1
"態度親切，推薦景點一飽馬祖得天獨厚地理景觀，輕鬆旅遊。	",0,0,0,0,1
"老闆很熱心親切，提供機場接送，而且租借的機車都是全新的！感謝老闆這幾天的照顧！	",0,0,0,0,1
"接電話小姐超棒服務也一級棒，隔音效果好，床和枕頭好睡，房間也乾淨舒服，值得再訪。	",0,1,0,1,1
"飯店（通常都是業者和停車場協調好、不會讓客人自行面對停車費用問題）	",1,0,0,0,0
"週日晚1700入住，CP值極高。早餐中西葷素咖啡豆漿果汁奶茶熱湯應有盡有。	",1,0,0,0,1
"如果營地願意改善訊號、衛浴熱水、垃圾桶、我相信這裡的清幽和風景會是很好的體驗。	",0,1,1,0,0
"的桌菜份量也很少，好多露友都說吃不飽	",0,0,0,0,1
"水管爆掉三次，好可怕，完全沒訊號不能即時聯絡老闆	",0,1,0,0,0
"大廳是工業風設計，可以享用好吃的餐點，綠島很熱，吃飯有冷氣真的超讚！！！	",0,1,0,0,1
"環境舒適 房內乾淨寬敞 家庭房還有按摩浴缸 老闆親切 地點優 潛水非常方便	",0,1,1,1,1
"熱情的老闆，超舒適的用餐休息區，乾淨又大的淋浴空間，推推	",0,1,0,1,1
"民宿主人很親切，全柚木裝潢，房間質感佳，已經回三訪嘍?還是ㄧ樣很有品質?	",0,1,0,0,1
"一間有溫度的民宿，能從房子裡的每一個細節感受到老闆與闆娘對房子的用心??	",0,0,0,0,1
"5建議老板可以提供單車租借服務，量不用多，意思意思三、四輛隨緣用。	",0,1,0,0,0
"老闆娘蔡姐非常友善且親切 是個有家的感覺的民宿 推推	",0,0,0,0,1
"更好，是下次到訪台東可再考慮入住的民宿喔∼	",0,0,0,0,0
"乾淨，闆娘親切又和藹，可以帶毛小孩喔！	",0,0,0,1,1
"房間很舒適 老闆人很親切 花蓮美食私房景點找老闆就對了	",0,1,0,0,1
"一樓大廳還有提供飲水,咖啡,茶包等自由使用。	",0,0,0,0,1
"在網路訂房及電話確認訂房時，均未主動告知未提供盥洗用具以及毛巾浴巾，必需自備。	",0,1,0,0,1
"民宿非常乾淨，老闆很親切，烤肉區跟停車區都很大。房間環境很好，非常推薦這裡哦哦哦	",0,1,0,1,1
"房間乾淨整齊~物美價廉，適合全家大小及朋友來宜蘭遊玩時又有個好的睡眠品質~推推	",1,1,0,1,0
"房間乾淨，但房價稍高，浴室備品量不足，洗髮精跟沐浴乳都太小包	",1,1,0,1,0
"房間很大又乾淨，大廳有書有玩的，很棒！晚餐五菜一湯800元，CP值高	",1,1,0,1,1
"日月潭內的中低價位度假飯店 停車場夠大，早餐在湖邊森林 裡面吃、很浪漫！	",1,1,0,0,1
"日月潭邊風光明媚 ，戶外座位景觀好 。餐點口味佳又不貴 ，空間舒適 。	",1,1,1,0,1
"舒適、衛生、機能性佳，逛安平、吃美食都很便利！	",0,1,1,1,0
"乾淨又舒服的民宿，老闆娘很親切	",0,1,0,1,1
"老闆服務親切，房間乾淨舒暢！	",0,1,0,1,1
"第一次住民宿沒看到老闆娘的... 風景不錯，頂樓可以看到火車，但不至於到吵	",0,1,1,0,0
兒子的娃娃忘在民宿，感謝熱心親切的闆娘寄回。房間溫馨舒適??,0,1,0,0,1
"老闆親切，房間乾淨，一樓以外的樓層wifi訊號很差	",0,1,0,1,1
"老闆人很好 很有家的味道 令人放鬆身心	",0,0,0,0,1
"離市中心很近，老闆的貝殼導覽很專業	",0,0,1,0,1
"很現代風格的民宿，建築有得過設計獎，老闆人很親切。	",0,1,0,0,1
很舒適的房間∼很親切的老闆∼很棒的氛圍∼很優的價錢,1,1,0,0,1
"最佳民宿，欣賞美麗安平港。	",0,0,1,0,0
"超值的住宿(雙人湯屋房),店家推薦餐館也很好。雖風華不再，但尚感舒適。	",1,1,0,0,1
"地點佳，公共設施良好，接待親切有禮，溫泉池很大還有按摩spa，床很好睡。	",0,1,1,0,1
"家庭經營 服務、裝潢、用品不像企業飯店那樣整齊	",0,1,0,1,1
"房間空間不大，但乾淨有設計感。房內提供免費點心飲料。距離六合夜市近。	",1,1,1,1,1
"淋浴的大蓮蓬頭、按摩枕很棒 早餐還不錯，氣氛也很好，桌子低了點 床很容易晃	",0,1,0,0,1
環境乾淨 裝潢設計新穎，空調沒有煙味，cp值高,1,1,0,1,0
"三星飯店 有浴缸，近中正紀念堂站 雙人床用兩小床拼	",0,1,1,0,0
"設備新穎 空間寬廣 服務人員很棒對親子家庭非常友善下次會推薦親友來入住！	",0,1,0,0,1
"房內設施不錯 但晚班櫃臺的那個女的 臉不知道在臭什麼… 問話也愛理不理的	",0,1,0,0,1
"房間及衛浴品質很棒又很乾淨，老闆跟員工都非常親切。	",0,1,0,1,1
"很優閒美好的文青風民宿，帶小孩也ok. 很多桌遊、書可以玩。	",0,1,0,0,0
"老闆非常風趣而且好聊，青旅的環境也蠻不錯，喜歡一樓的空間和藏書！	",0,1,0,0,1
"CP值高 地點優勢，對面夜市小吃便利 房間尚稱舒適寬廣 洗衣烘衣設備貼心	",1,1,1,0,0
"距離小港機場不遠，是出國搭早班飛機前的住宿最佳選擇。	",0,0,1,0,0
"飯店的早餐也很好吃 CP值很高 很推薦	",1,0,0,0,1
地下是公共空間、接待處、客房廚房和輕食餐廳，免費早餐也在這,1,1,0,0,1
"地點方便，氣氛很溫馨 晚上去夜遊，剛好天氣很好，景色很美 有機會會再訪	",0,1,1,0,0
"桌遊、電腦、雜誌，隔天十一點退房，二樓室內不可飲食。整體還算滿意~~~	",0,1,0,0,0
環境整潔、房間的雙人床有加大、睡起來很舒適，老闆娘很熱心、有烤肉場地，值得推薦?? ,0,1,0,1,1
"老闆人很親切服務又好，早餐超級豐盛 環境超棒超乾淨，又可以烤肉超讚	",0,1,0,1,1
"近西門站交通便利，價格便宜，但住宿房間有異味，不大推薦	",1,0,1,1,0
"飯店在西門町很方便逛街，服務親切，房價親民，cp值很高	",1,0,1,0,1
"訂房訂單直接取消 接電話服務人員不負責任態度差 爛	",0,0,0,0,1
"很棒的地方，野菜+烤肉+醃漬的梅子，超級好玩。	",0,1,0,0,0
"環境很優美 房間也乾淨 庭園很漂亮 是度假不錯的選擇	",0,0,1,1,0
"CP值高，老闆很親切，服務週到	",1,0,0,0,1
"環境安靜，近晴光夜市，小吃選擇多。但隔音不好，易受隔壁房間聲音打擾睡眠	",0,1,1,0,0
"停車場人員才說上限200元是月租用戶才有 給房客這什麼唬爛的信息？	",1,0,0,0,1
"早餐精緻、設備新穎，有陽台浴缸很棒。	",0,1,0,0,1
"房間只有一盞燈所以燈光教昏暗，浴室門沒有附鎖，上廁所洗澡都有點尷尬	",0,1,0,0,0
"設備齊全 吹風機洗衣機都有 地方乾淨 靠近車站	",0,1,1,1,0
"隔音很差，站在走廊更明顯， 別人在做什麼事都能聽的一清二楚	",0,1,0,0,0
"地點好，房間大，環境幽靜，庭院有小沙坑跟溜滑梯，孩子很愛。	",0,1,1,0,0
"CP質高，爆推老闆娘極品海鮮粥早餐，料好實在，超讚！	",1,0,0,0,1
"晚上9點半，但店家仍非常貼心的配合我的時間協助載送行李到機場，覺得服務真的很棒！	",0,0,0,0,1
"前台人員及餐廳員工服務很棒, 房間樓中樓很棒, 主動升級6人房房間, 2.	",0,1,0,0,1
"臨近八仙山風景區，飯店舒適，服務人員熱情親切，有會議場地，也適合公司舉辦活動。	",0,1,1,0,1
"設施多，適合全家或團體出遊、泡湯。桌菜物美價廉，工作人員服務態度好，又有熱忱。	",1,1,0,0,1
"裡面文創風擺設挺棒的，較可惜的是一樓部分面積跟二樓交誼廳已經出租給印度餐廳。	",0,1,0,0,0
房間有小沙發區，也很方便?? 房型因臨時入住選擇只有雙床房。下次台中行還會來再住,0,1,0,0,0
"整體環境非常漂亮，彷彿來到歐洲，玫瑰親子房內的玩具和溜滑梯讓小孩玩到不想離開。	",0,1,0,0,0
"完美的住宿體驗。房間浴室大廳戶外都超漂亮！早餐擺盤精緻！	",0,1,0,0,1
超美超讚！滿足女孩??住城堡的幻想！服務也超好！為旅程加滿分！超推！,0,1,0,0,1
"服務很棒，室內裝潢很有特色，可惜浴室沒有可以擺盥洗用具的地方。	",0,1,0,0,1
"櫃臺小姐很親切，但是房間煙味太重，早餐品質內容不佳待加強。	",0,0,0,1,1
"隔音可能是建築問題，隔壁或是樓上聲音難免。	",0,1,0,0,0
"一樓有一間四人房，適合家庭或是有無障礙需求者使用。有電梯可到二樓以上樓層。	",0,1,0,0,0
"空間寬敞、舒適，裝潢精致且具有特色，房間相當乾淨，未來有機會定再訪。	",0,1,0,1,0
"態度不好、喜宴主人家出錢讓客人住宿，卻找客人收錢！讓主人家丟臉...	",0,0,0,0,1
"算在整個區域內的中心點...山莊主人與家人都很親切，房間設備簡單乾淨...	",0,1,1,1,1
"老板親切有禮~房間內部功能齊全,值得推薦的一家民宿cp 值極高。?? ",1,1,0,0,1
"四人房還不錯,有附泡麵、餅乾、飲料、開水，池坑也大，早餐是老闆娘做的燒餅，不錯吃	",0,1,0,0,1
"一分錢一分貨，但服務品質跟房間設施沒有符合飯店價錢該有的品質。	",1,1,0,0,1
"CP值高！值得推薦住宿的礁溪溫泉會館	",1,0,0,0,0
"星期六台南行程吃完早餐，再走去	",0,0,0,0,0
" 吃完再走去烏鬼井，順道回民宿退房。	",0,0,1,0,0
"需要熱水，公共區也有飲水機 嶄新的浴室使用起來真開心。	",0,1,0,0,0
住宿費不高，CP值很高的一間旅館！        ,1,0,0,0,0
"老闆娘！服務親切誠懇，詢問房間相關問題相當清楚，是服務周到的好民宿	",0,0,0,0,1
"買咖啡蓋子根本沒蓋好就交給客人，害我在車上咖啡灑滿車...	",0,0,0,0,1
"乾淨明亮 再一次來出差住宿，感覺像回到自己家一樣舒適	",0,1,0,1,0
"地點好找，停車方便，住宿房間乾淨衛生，服務人員親切，值得推薦的住宿飯店。	",0,1,1,1,1
"服務很好，早餐的部分，有沙拉區，熟食區，麵包區，稀飯區，還可以自己燙切仔麵。	",0,0,0,0,1
"距離安平古蹟、景點最近的四星飯店，高貴不貴~我們家住面河景觀房。	",1,0,1,0,0
"不錯的環境 室內佈置很特別。二樓還可以泡茶 菜色ok 食材新鮮 推師傅現做的手捲	",0,1,0,0,1
"的甜點等，秋冬季節會有日式的螃蟹火鍋，湯頭鮮美，非常推薦秋冬季節的火鍋。	",0,0,0,0,1
"在宜蘭眾多無菜單料理中，餐點在水準之上，價格也算合理。店內與庭院的用餐環境極佳。	",1,1,0,0,1
"老闆幫忙訂了行程，還很熱切告訴我們欣賞煙火的位置&超讚的停車地點，專業！	",0,0,0,0,1
"離沙灘、機場近，很方便，老闆親切，房間簡單、乾淨、舒適，價錢便宜。	",1,1,1,1,1
"就像回到澎湖的家 來這體會慢活吧	",0,1,0,0,0
"本館通往新館的通道有濃厚的怪味 房間隔音不是很好 早餐非常一般 餐廳視野很不錯	",0,1,1,1,1
"新館舒適 價格已家庭房3人1小孩來說算可以 還有浴缸可以給小朋友泡澡玩水	",1,1,0,0,0
"地點優良，比起其他飯店多了停車場優勢 風景很好	",0,1,1,0,0
房間空間大，環境舒適，老闆，老闆娘人不錯健談。        ,0,1,0,0,1
"到甚麼噪音。有提供停車位在民宿的騎樓，老闆娘會非常熱情地來指揮停車。	",0,1,0,0,1
"需特別注意這邊是環保旅館，沒有提供毛巾浴巾牙刷，需要自備喔。另外也沒有電梯。	",0,1,0,0,0
"三樓三人房看起來是頂樓加蓋，不是很想花這樣的錢入住那間房間。	",0,1,0,0,0
"環境空間舒適，渡假的好地方，就是有些設備比較舊，泳池超級讚	",0,1,0,0,0
人多包棟可好好玩，有泳池、桌球、撞球、麻將、還可唱歌、烤肉、SPA池、廚房很大 ,0,1,0,0,0
優質旅館，香港行銷團隊經營的旅館，服務周到、房間空間舒適、設備新穎、裝潢高雅。,0,1,0,0,1
"包廂桌菜採預約制，9900起跳，可以調整菜色，重慶水煮牛以及鵝肝乳豬好吃極了	",0,0,0,0,1
"夜晚酒吧點杯調酒，坐在天台賞夜景，很浪漫。下次到高雄，會再住這家飯店	",0,1,1,0,0
"大門電子門禁，但房間門是普通鎖！	",0,1,0,0,0
"整體環境還不錯，設備不算新穎，但是該有的都有，住在四樓，還有一個小小的電梯！	",0,1,0,0,0
"房況很差，門鎖壞了也不修好，被子單薄又舊，網路騙很大	",0,1,0,0,0
"老闆娘非常親切 對待每個住宿的客人都很好	",0,0,0,0,1
"新房子設備都很新老闆也很親切	",0,1,0,0,1
"澎湖設施最棒，民宿姐姐最親切的澎湖第一首選！	",0,1,0,0,1
很棒的住宿體驗！CP 值高 空間乾淨整潔，床很舒服??一樓的餐點也營養好吃！,1,1,0,1,1
"設備很新 早餐好吃 四人房偏小 離市區老街很近	",0,1,1,0,1
房間標準 咖啡好喝 地點方便,0,1,1,0,1
"氣氛好但房間稍小隔音差浴室狹小不方便	",0,1,0,0,0
"木屋?於叢叢果樹間，耒此渡假四季皆可採水果樂。	",0,1,1,0,0
"很神秘的地方，地處偏遠，但老闆娘人很親切，也因為遠離塵囂才能親近大自然~	",0,0,1,0,1
"巴里島風格裝潢，寬敞的泡湯空間。可惜沒有停車場，夜晚清晨房間溫度偏低。	",0,1,0,0,0
"空間舒適，室內湯池大適合帶小朋友的家庭！早餐口味鹹淡適中比較偏中式，還算不錯！	",0,1,0,0,1
"櫃檯/餐廳的工作人員服務周到！設施也很棒…	",0,1,0,0,1
"很熱心哦 又是重機車友 房間非常的乾淨 房前空地可烤肉聚餐	",0,1,0,1,1
"環境很好也不吵雜對面又有學校及公園價格也公道	",1,1,1,0,0
"舒服、空氣佳，老闆人好，附近鄰居也很親切！早餐店阿姨很可愛??	",0,1,0,0,1
"很棒的海邊小屋，很棒的小管家，很棒的環境氛圍，很棒的睡眠品質，很棒的創作地點。	",0,1,1,0,1
"旁邊就是全家便利商店，晚上要找食物、飲料很方便。	",0,0,1,0,0
"吵 房內有保險箱.晾毛巾架.蠻方便的 有小廚房.交誼廳	",0,1,0,0,0
"宜蘭羅東過夜的話，這家絕對是首選，離夜市近，停車方便，環境舒適，老闆娘又親切！	",0,1,1,0,1
"佩佩豬溜滑梯房型內有豐富的玩具跟佈置，我小女兒驚嘆連連	",0,1,0,0,0
"房間乾淨，口愛，超級適合小朋友。離夜市超級近，逛街吃美食一點都不累	",0,0,1,1,0
"很貼心、服務超級棒的飯店、地點也很近文化夜市、來嘉義的朋友超級推薦這家飯店	",0,0,1,0,1
"擁有好吃的早餐、明亮的大廳、便利提供自行車的服務，但房間缺少椅子及桌子，建議增加	",0,1,0,0,1
