label,filtered_noun
1.0,放空 咖啡 夕陽 海景 滿分
1.0,地點 棒 距離 捷運站 500 公尺 旁邊 便利商店 餐廳 酒吧 林立 離 百貨 商圈 不遠
0.0,室 裝潢 衛生 環境 滿意 說 服務 品質 住宿 體驗 顆 星 繼續 加油
0.0,房間 衛浴 放置 物品 掛 衣服 地方 有待 改善
1.0,民宿 位於 朝日 溫泉 附近 吃 店家 建議 在 鬧區 用餐
1.0,房間 舒適 距離 市區 遠 住宿 附 早餐 不便
0.0,老闆 熱情 住宿 環境 棒 行程 講解 活動 套票 優惠
1.0,逛街 購物 蛋黃區 設備 開車 建議 位子 停車
0.0,家 在 住 爛 旅館 房間 小 早餐 吃 爛
0.0,水龍頭 水 小 差 壁紙 掉落 冰箱 位 客人 飲品
0.0,房間 舒適 乾淨 環境 令 人 放鬆
0.0,老闆 老闆娘 親切 推薦
1.0,風景 優美 民宿 整齊 清潔 老闆 親切
0.0,普通 房間 整齊 外觀 不行 早餐 種類 少 算 房客 日本人 居多
0.0,乾淨 舒適 服務 親切 腳踏車 電視 品質 普通 衛星 日本 電視
0.0,人 房 空間 環境 簡單 乾淨 服務 人員 親切 可惜 晚上 好
1.0,三樓 屋頂 適合 海 棒 地方 服務 親切 房間 安靜
1.0,地點 離 機場 方便 民宿 房間 空間 乾淨 廁所 間
0.0,頂樓 放空 發呆 cp值 高 好 民宿 小 管家 和善 房客 好
0.0,家 溫暖 飯店 舒適 小 管家 親切 招待 機會 拜訪
1.0,環境 清幽 房型 舒適 別墅 火車 鐵軌 高山 雲 繞 一覽無遺
0.0,室 迴音 整體 值得 推薦 好 民宿
0.0,隔音 差 晚上 聽 隔壁 房間 聲音 早上 隔壁 建築 施工 噪音 吵到 睡覺
1.0,捷運站 服務 親切 環境 舒適 早餐 提供 吐司 自理
0.0,三樓 廁所 空間 偏 小 馬桶 品質 不錯
0.0,吵 停車位 晚餐 早餐 房間 小 透天厝
0.0,小孩 人 加收 300 備品 床 老闆 愛 錢
0.0,簡單 乾淨 店員 韓國 花美男
0.0,菜 自助 烤 吐司 提供 花生 草莓 抹醬 飲料 冰 紅茶 三合一 熱 咖啡
0.0,乾淨 雙人房 空間 小 效果 差 早餐 選擇性 那麼多
1.0,南海 飯店 員工 服務 好 係 櫃檯 職員 執房 服務員 態度 友善 親切
0.0,服務 超棒 門房 阿伯 活力 親切 整 大眾 女湯 設備 空間 寬敞 宜人
0.0,大眾池 泡湯 宛如 置身 日本餐 食材 手藝 好 台北 近郊 放鬆 身心 好 選擇
0.0,路過 喝 杯 免費 咖啡 服務員 態度 友善 提供 手機 充電 溫度 飯店
0.0,熱情 老闆娘 招待 周到 環境 舒適 裡面 草皮 適合 親子 活動
0.0,民宿 餐飲 所有 服務 採 預約制 老闆娘 料理 手藝 好 建物 內外 優雅
0.0,下午茶 蛋糕 好吃 放鬆 地方
0.0,素食 便當 湯 好喝 旅行社 定價 400 晚餐 菜色 口味 價值 誠意 不足
0.0,房間 普通 櫃檯 親切 貼心 介紹 附近 景點
0.0,出菜 速度 菜品 不錯 服務 人員 態度 良好
1.0,民宿 景美 房間 設施 老舊 熱水 穩 服務 人員 親切 早餐 餐點 美味
1.0,環境 乾淨 價錢 合理 老闆 員工 親切 有禮 太平山 旅 好 選擇
1.0,環境 清幽 山景 美 浴室 乾凈 滿足 潔癖 職業病 支持 加油
0.0,服務 親切 附近 攤販 店家 吃 方便 房間 乾凈 早餐 好吃 推薦 入住
0.0,停車 位置 門 前 旅店 後方 空地 停滿 尋 車位 方便
0.0,枕頭 高 挑 睡 設備 老舊 人員 服務 親切
1.0,區 南海 遊客 中心 10多 分 距離 舒服 想 住
0.0,螞蟻房 水 小 黃黃 要價 5800 有夠 坑 800 價值
0.0,請 找 好 值得 花錢 民宿 踩 雷 提醒
1.0,環境 清幽 房間 整潔 早餐 美味 可口 咖啡 豆漿 好喝 讚 下 回
0.0,乾淨 舒適 玻璃屋 草坪 悠閒 時光 好 地方
0.0,房間 電視 冰箱 浴室 共用 cp值 低
1.0,二樓 岑嵐 窗戶 美景 晚上 老闆 煮 黑糖 芋圓 好吃 早餐 蒸 蛋 超棒
0.0,房間 感覺 質感 好 民宿 業者 貼心 幫 找 停車位 用心 介紹 九份 景點
0.0,老闆 老闆娘 人 親戚 好 老闆娘 漂亮 活力 料理 餐點
0.0,房間 明亮 寬敞 乾淨 浴缸 佳 水壓 舒適 主人 親切 服務 勤快 寶貝 愛車 停車 便利
0.0,音差 一樓 大廳 聊天 聲音 穿到 二三樓 聽 爛
1.0,地點 在 鬧區 購物 用餐 走路 人 房 乾淨 舒服 棒 民宿 推
0.0,房價 親民 老闆 親切
0.0,價格 平價 五星級 服務
0.0,推薦 建議
0.0,平面 停車場 早餐 宵夜 素食區 餐廳 經理 服務 熱沉 房間 乾淨 舒適
0.0,cp值 高 早餐 宵夜 蘿蔔糕 沾 花生 辣醬 美味 生菜 沙拉 新鮮 推薦 淋 油醋醬
0.0,特別 提供 宵夜 澱粉類 甜點 樓下 一樓 提供 餅乾 咖啡 飲料 坐 一下
0.0,兩 位 年輕 老闆娘 熱情 房間 舒服 民宿 電梯 早餐 馬祖 特色 繼光餅
0.0,老闆 爸 媽 一家人 問 答 親切 注意 班機 狀況 給予 建議 間 溫度 住宿
0.0,房間 新 設備 好 廁所 厲害 免治 馬桶 在 日本 飯店 看過 種 規格
1.0,地點 好 交流道 臨近 傳藝 風景 怡人 造景 漂亮 船 划 房間 溫馨 老闆 熱情
0.0,戶外 設施 人 在 養護 泳池 變成 綠色 烤 肉 戶外 活動 加 錢 推薦
1.0,歐洲 風情 美 老闆 親切 一望無際 視野 眺望 龜山島 五星級 民宿
1.0,附近 吃 民雄 鵝肉亭 花亭 壽司 廟 前 碳烤 雞排 水餃
0.0,食材 新鮮 生魚片 肉類 料理 美味 餐廳 環境 適合 久 坐 聊天 賣 辦手禮
0.0,停車場 服務 人員 今日 吃 蔬食餐 菜色 棒 下 次
0.0,獨立 空間 房間 乾淨 頂樓 設置 室 外 浴缸 特別
1.0,老闆娘 親切 環境 好 裝潢 氣氛 目前 住 民宿 裡 感覺 好
0.0,民宿 乾淨 舒適 民宿 主人 熱情 有趣 推薦 景點 食物 不錯
0.0,盥洗 用品 浴室 附 洗衣機 烘衣機 投幣式 早餐 粥品 吐司 麵包 果醬
0.0,設計感 服務 人員 親切 外部 裝潢 美 房間 內部 老舊
1.0,優點 離 車站 10 分鐘 附近 飾品 批發 區域 寧夏 夜市 方便
0.0,空間 寬敞 主人 庭園 經營 用心 種植 種類 植物 樹 照顧 動物 慈愛
1.0,住宿 周遭 生態環境 優美 兩 人 房 沙發 椅子 電視 頻道 選擇
0.0,房間 乾淨 好 睡 房東 夫妻 nice 棒 推薦
1.0,老闆 親切 熱情 房間 老舊 ㄧ些 窗 外 海景 棒 值得
0.0,態度 親切 推薦 景點 馬祖 地理 景觀 輕鬆 旅遊
0.0,老闆 熱心 親切 提供 機場 接送 租借 機車 全新 感謝 老闆 天 照顧
0.0,接 電話 小姐 超棒 服務 一級 棒 效果 好 床 枕頭 好 睡 房間 乾淨 舒服 值得 訪
0.0,飯店 業者 停車場 協調好 客人 面對 停車 費用 問題
0.0,週日 晚 1700 入住 CP 值 高 早餐 葷 素 咖啡 豆漿 果汁 奶茶 熱湯 應有盡有
1.0,營地 願意 改善 訊號 衛浴 熱水 垃圾桶 相信 這裡 清幽 風景 好 體驗
0.0,桌菜 份量 好多 露友 說 吃
0.0,水管 爆掉 次 可怕 訊號 聯絡 老闆
0.0,大廳 工業風 設計 享用 好吃 餐點 綠島 熱 吃飯 冷氣
1.0,環境 舒適 房 乾淨 寬敞 家庭房 按摩 浴缸 老闆 親切 地點 優 潛水 方便
0.0,熱情 老闆 舒適 用餐 休息區 乾淨 淋浴 空間 推推
0.0,民宿 主人 親切 全 柚木 裝潢 房間 質感 佳 回 訪 ㄧ樣 品質
0.0,間 溫度 民宿 房子 裡 細節 感受到 老闆 闆娘 房子 用心
0.0,建議 老板 提供 單車 租借 服務量 多意思 意思 三四 輛 隨緣
0.0,老闆娘 蔡姐 友善 親切 家 感覺 民宿 推推
0.0,好 下 次 到訪 台東 考慮 入住 民宿
0.0,乾淨 闆娘 親切 和藹 毛 小孩
0.0,房間 舒適 老闆 人 親切 花蓮 美食 景點 找 老闆
0.0,一樓 大廳 提供 飲水 咖啡 茶包 自由 使用
0.0,在 網路 訂房 電話 確認 訂房 時 主動 告知 提供 盥洗 用具 毛巾 浴巾 自備
0.0,民宿 乾淨 老闆 親切 烤肉區 停車區 房間 環境 好 推薦 這裡
0.0,房間 乾淨 整齊 物美價廉 適合 全 家 大小 朋友 宜蘭 遊玩 時 好 睡眠 品質 推推
0.0,房間 乾淨 房價 高 浴室 備品量 不足 洗髮精 沐浴乳 小 包
0.0,房間 乾淨 大廳 書 玩 棒 晚餐 菜 湯 800 元 高
0.0,日月潭 度假 飯店 停車場 早餐 在 湖 森林 裡面 吃 浪漫
1.0,日月潭 風光明媚 戶外 座位 景觀 好 餐點 口味 佳 貴 空間 舒適
1.0,舒適 衛生 機能性 佳 逛 安平 吃 美食 便利
0.0,乾淨 舒服 民宿 老闆娘 親切
0.0,老闆 服務 親切 房間 乾淨 舒暢
1.0,第一 次 住 民宿 看到 老闆娘 風景 不錯 頂樓 看到 火車 吵
0.0,兒子 娃娃 忘 在 民宿 感謝 熱心 親切 闆娘 寄回 房間 溫馨 舒適
0.0,老闆 親切 房間 乾淨 一樓 以外 樓層 wifi 訊號 差
0.0,老闆 人 好 家 味道 令 人 放鬆 身心
1.0,離 市中心 老闆 貝殼 導覽 專業
0.0,現代 風格 民宿 建築 設計獎 老闆 人 親切
0.0,舒適 房間 親切 老闆 棒 氛圍 優 價錢
1.0,民宿 欣賞 美麗 安平港
0.0,超值 住宿 雙人湯屋房 店家 推薦 餐館 好 風華 感 舒適
1.0,地點 佳 設施 良好 接待 親切 有禮 溫泉池 按摩 spa 床 好 睡
0.0,家庭 經營 服務 裝潢 用品 企業 飯店 整齊
1.0,房間 空間 乾淨 設計感 房 提供 免費 點心 飲料 距離 六合 夜市
0.0,淋浴 蓮蓬頭 按摩枕 棒 早餐 不錯 氣氛 好 桌子 低 床 容易 晃
0.0,環境 乾淨 裝潢 設計 新穎 空調 煙味 cp值 高
1.0,飯店 浴缸 中正 紀念堂 站 雙人床 兩 小 床 拼
0.0,設備 新穎 空間 寬廣 服務 人員 棒 親子 家庭 友善 下 次 推薦 親友 入住
0.0,房 設施 不錯 晚班 櫃臺 女 臉 知道 在 問話 愛 理 不理
0.0,房間 衛浴 品質 棒 乾淨 老闆 員工 親切
0.0,優閒 美好 文青風 民宿 小孩 ok 桌遊書 玩
0.0,老闆 風趣 好 聊 青旅 環境 不錯 喜歡 一樓 空間 藏書
1.0,CP值 高 地點 優勢 對面 夜市 小吃 便利 房間 稱 舒適 寬廣 洗衣 烘衣 設備 貼心
1.0,距離 小港 機場 出國 搭 早班 飛機 前 住宿 選擇
0.0,飯店 早餐 好吃 高 推薦
0.0,下 空間 接待處 客房 廚房 輕食 餐廳 免費 早餐 在
1.0,地點 方便 氣氛 溫馨 晚上 夜遊 天氣 好 景色 美 機會 訪
0.0,桌遊 電腦 雜誌 隔天 十一點 退房 二樓 室 飲食 整體 算 滿意
0.0,環境 整潔 房間 雙人床 加大 睡起來 舒適 老闆娘 熱心 烤 肉 場地 值得 推薦
0.0,老闆人 親切 服務 好 早餐 豐盛 環境 超棒 乾淨 烤 肉 超 讚
1.0,西門站 交通 便利 價格 便宜 住宿 房間 異味 推薦
1.0,飯店 在 西門町 方便 逛街 服務 親切 房價 親民 cp值 高
0.0,訂房 訂單 直接 取消 接 電話 服務 人員 負責任 態度 差 爛
0.0,棒 地方 野菜 烤 肉 醃漬 梅子 好玩
1.0,環境 優美 房間 乾淨 庭園 漂亮 度假 不錯 選擇
0.0,CP 值 高 老闆 親切 服務 週到
1.0,環境 安靜 晴光 夜市 小吃 選擇 隔音 好 易 受 隔壁 房間 聲音 打擾 睡眠
0.0,停車場 人員 說 上限 200 元 月租 用戶 房客 唬爛 信息
0.0,早餐 精緻 設備 新穎 陽台 浴缸 棒
0.0,房間 盞 燈 燈光 教 昏暗 浴室 門 附鎖 上廁所 洗澡 尷尬
1.0,設備 齊全 吹風機 洗衣機 地方 乾淨 靠近 車站
0.0,差 站 在 走廊 明顯 在 做 事 聽 一清二楚
1.0,地點 好 房間 環境 幽靜 庭院 小 沙坑 溜滑梯 孩子 愛
0.0,CP 質 高 爆 推 老闆娘 極品 海鮮粥 早餐 料 實在 超 讚
0.0,晚上 9點半 店家 貼心 配合 時間 協助 載送 行李 機場 覺得 服務 棒
0.0,前台 人員 餐廳 員工 服務 棒 房間 樓中樓 棒 主動 升級 人 房 房間
1.0,臨近 八仙山 風景區 飯店 舒適 服務 人員 熱情 親切 會議 場地 適合 公司 舉辦 活動
0.0,設施 適合 全家 團體 出遊 泡湯 桌菜 物美價廉 工作 人員 服務 態度 好 熱忱
0.0,裡面 文創風 擺設 棒 可惜 一樓 部分 面積 二樓 交誼廳 出租給 印度 餐廳
0.0,房間 小 沙發區 方便 房型 臨時 入住 選擇 雙床房 下 次 台中行 住
0.0,整體 環境 漂亮 來到 歐洲 玫瑰 親子房 玩具 溜滑梯 小孩 玩 想 離開
0.0,完美 住宿 體驗 房間 浴室 大廳 戶外 漂亮 早餐 擺盤 精緻
0.0,超美 超讚 滿足 女孩 住 城堡 幻想 服務 超 好 旅程 加 滿分 超推
0.0,服務 棒 室 裝潢 特色 可惜 浴室 擺 盥洗 用具 地方
0.0,櫃臺 小姐 親切 房間 煙味 重 早餐 品質 內容 不佳 加強
0.0,建築 問題 隔壁 樓上 聲音
0.0,一樓 間 人房 適合 家庭 有無 障礙 需求 使用 電梯 二樓 以上 樓層
0.0,空間 寬敞 舒適 裝潢 精致 具有 特色 房間 乾淨 未來 機會 訪
0.0,態度 好 喜宴 主人家 出錢 客人 住宿 找 客人 收錢 主人家 丟臉
1.0,算 在 整 區域 中心點 山莊 主人 家人 親切 房間 設備 簡單 乾淨
0.0,老板 親切 有禮 房間 內部 功能 齊全 值得 推薦 家 民宿 cp值 高
0.0,人 房 不錯 附 泡麵 餅乾 飲料 開水池 坑 早餐 老闆娘 做 燒餅 不錯 吃
0.0,分 錢 分 貨 服務 品質 房間 設施 符合 飯店 價錢 品質
0.0,CP 值 高 值得 推薦 住宿 礁溪 溫泉 會館
0.0,星期六 台南 行程 吃完 早餐 走去
1.0,吃完 走去 烏鬼井 回 民宿 退房
0.0,需要 熱水 公共區 飲水機 浴室 使用 開心
0.0,住宿費 高 P 值 高 間 旅館
0.0,老闆娘 服務 親切 誠懇 詢問 房間 相關 問題 清楚 服務 周到 好 民宿
0.0,買 咖啡 蓋子 蓋好 交給 客人 害 在 車 咖啡 灑滿 車
0.0,乾淨 明亮 出差 住宿 感覺 回到 家 舒適
1.0,地點 好 找 停車 方便 住宿 房間 乾淨 衛生 服務 人員 親切 值得 推薦 住宿 飯店
0.0,服務 好 早餐 部分 沙拉區 熟食區 麵包區 稀飯區 燙 切仔麵
1.0,距離 安平 古蹟 景點 最近 飯店 高貴 貴 家 住 面河 景觀 房
0.0,不錯 環境 室 佈置 特別 二樓 泡茶 菜色 ok 食材 新鮮 推 師傅 做 手捲
0.0,甜點 秋冬 季節 螃蟹 火鍋 湯頭 鮮美 推薦 秋 冬 季節 火鍋
0.0,在 宜蘭 眾多 無 菜單 料理 中 餐點 在 水準 之上 價格 算 合理 店 庭院 用餐 環境 佳
0.0,老闆 幫忙 訂 行程 熱切 告訴 欣賞 煙火 位置 停車 地點 專業
1.0,離 沙灘 機場 方便 老闆 親切 房間 簡單 乾淨 舒適 價錢 便宜
0.0,回到 澎湖 家 體會 慢活
1.0,館 通往 新館 通道 濃厚 怪味 房間 好 早餐 餐廳 視野 不錯
0.0,新館 舒適 價格 家庭房 人 小孩 說 算 浴缸 小朋友 泡澡 玩水
1.0,地點 優良 飯店 停車場 優勢 風景 好
0.0,房間 空間 環境 舒適 老闆 老闆娘 人 不錯 健談
0.0,噪音 提供 停車位 在 民宿 騎樓 老闆娘 熱情 指揮 停車
0.0,特別 注意 環保 旅館 提供 毛巾 浴巾 牙刷 需要 自備 電梯
0.0,三樓 人 房 頂樓 加蓋 想 花 錢 入住 間 房間
0.0,環境 空間 舒適 渡假 好 地方 些 設備 舊 泳池 讚
0.0,人 包 棟 好好玩 泳池 桌球 撞球 麻將 唱歌 烤 肉 池 廚房
0.0,旅館 香港 行銷 團隊 經營 旅館 服務 周到 房間 空間 舒適 設備 新穎 裝潢 高雅
0.0,包廂 桌菜 採 預約制 9900 起跳 調整 菜色 重慶 水煮 牛 鵝肝 乳豬 好吃
1.0,夜晚 酒吧 點 杯 調酒 坐 在 天台 賞 夜景 浪漫 下 次 高雄 住 家 飯店
0.0,大門 電子 門禁 房間 門 普通 鎖
0.0,整體 環境 不錯 設備 算 新穎 住在 四樓 小小 電梯
0.0,房況 差 門鎖 壞 修好 被子 單薄 舊 網路 騙
0.0,老闆娘 親切 對待 住宿 客人 好
0.0,新 房子 設備 新 老闆 親切
0.0,澎湖 設施 棒 民宿 姐姐 親切 澎湖 第一 首選
0.0,棒 住宿 體驗 值 高 空間 乾淨 整潔 床 舒服 一樓 餐點 營養 好吃
1.0,設備 新 早餐 好吃 人 房 偏 小 離 市區 老街
1.0,房間 標準 咖啡 好喝 地點 方便
0.0,氣氛 好 房間 小 隔音 差 浴室 狹小 方便
1.0,木屋 叢叢 果樹 間 耒 渡假 季 採 水果樂
1.0,神秘 地方 地處 偏遠 老闆娘 人 親切 遠離 塵囂 親近 大自然
0.0,巴里島 風格 裝潢 寬敞 泡湯 空間 可惜 停車場 夜晚 清晨 房間 溫度 偏低
0.0,空間 舒適 室 湯池 適合 小朋友 家庭 早餐 口味 鹹淡 適中 偏 算 不錯
0.0,櫃檯 餐廳 工作 人員 服務 周到 設施 棒
0.0,熱心 重機 車友 房間 乾淨 房 前 空地 烤 肉 聚餐
1.0,環境 好 吵雜 對面 學校 公園 價格 公道
0.0,舒服 空氣 佳 老闆人 好 附近 鄰居 親切 早餐店 阿姨 可愛
1.0,棒 海邊 小屋 棒 小 管家 棒 環境 氛圍 棒 睡眠 品質 棒 創作 地點
1.0,旁邊 全家 便利商店 晚上 找 食物 飲料 方便
0.0,吵 房 保險箱 晾 毛巾架 方便 小 廚房 交誼廳
1.0,宜蘭 羅東 過夜 家 首選 離 夜市 停車 方便 環境 舒適 老闆娘 親切
0.0,佩佩 豬 溜滑梯 房型 豐富 玩具 佈置 小 女兒 驚嘆
1.0,房間 乾淨 口愛 適合 小朋友 離 夜市 超級 逛街 吃 美食 一點 累
1.0,貼心 服務 棒 飯店 地點 文化 夜市 嘉義 朋友 推薦 家 飯店
0.0,擁有 好吃 早餐 明亮 大廳 便利 提供 自行車 服務 房間 缺少 椅子 桌子 建議 增加
0.0,地下室 提供 收費 300 晚 平面 停車位 一樓 汽車 搭 電梯 下去
1.0,飯店 新 位置 滿分 房間 木頭 傢俱 裝潢 淡淡 木頭 香 窗戶 旁邊 座位 讚
1.0,近距離 體驗 台中 多元 文化 越南 料理 好吃 小店 走路 推薦
0.0,老闆 用心 環境 乾淨 寵物 有善 旅館 高
0.0,進 房 滅 六七 隻 蜘蛛 隻 小強 房間 訊號 wifi
0.0,老闆人 好 貓咪 可愛 超 親人 重點 價格 便宜 CP值 高 推 推推
0.0,房間 堜啡 茶包 飲料 礦泉水 可惜 餐廳 享用 熱熱 早餐 外 送 早餐
0.0,親子房 和室 浴室 浴缸 乾 濕 分離 適合 攜帶 孩子 家庭
0.0,價格 親民 設施 老舊 感覺 不錯 門口 送 冬瓜 青茶 杯
0.0,酒店 房間 空間 設備 新穎 裡面 乾淨 浴室 浴缸 適合 放鬆 心情
0.0,人 房 適合 親子 房間 陽台 老闆 人 好 電鍋 加熱 寶寶 副食品
1.0,環境 乾淨 舒適 窗 外 看到 龜山島 風景 美
0.0,熱心 堆 美食 介紹給 棒 貼心 民宿
1.0,老闆 熱情 管家 服務 好 房間 舒適 露天 浴池 配上 無敵 山景
0.0,房型 閣樓 說 網站 照片 落差 房價 2500 成 正比
1.0,泡湯池 景觀 天氣 好 時 看到 龜山島
0.0,空調 室內机 漏水 房間 乾淨
0.0,飯店 踏踏 米房 效果 好 溫泉池 泡 舒服
1.0,視野 好 觀星 不錯 價格 親民 設施 普通 山 下 新 民宿
0.0,歷史 悠久 溫泉 泡完 湯 坐 露天 位置 放空 三五 好友 聊天 泡茶 特別 溫泉
0.0,網路 訂房 雙人 加大房 2160 含 早餐 CP 值 棒
1.0,房間 採光 佳 老闆 人 好 周圍 環境 寧靜 離 市區 不遠 附近 公益路 美食
1.0,員工 親切 價位 尚可 浴室 設備 舊 算 整潔 地點 不錯 附近 公車站
0.0,全新 民宿 老闆 老闆娘 人 棒 房間 空間 多樣化 早餐 豐盛
0.0,適合 旅遊 渡假 年輕 朋友 烤 肉 聯誼 家族 團聚 老人 小孩 皆大歡喜 豐富 養生 早餐
1.0,家 位置 離 梅花湖 騎 腳踏車 民宿 提供 好 騎 車子 前往
1.0,房間 舒適性 價比 高 服務 好 離 逢甲 商圈 物超所值
0.0,床 髒髒 枕頭 頭髮 感覺 清理 種 過敏 好 訪
0.0,進 屋 煙味 棉被 煙味 樓上 洗衣 滴水 冷氣 吵到 醒來
0.0,房間 主題 裝潢 擺設 親子房 溜滑梯 車子 造型 療癒
0.0,人 房 整潔 乾淨 提供 嬰兒 澡盆 電梯 服務 親切 早餐 好
0.0,cp值 高 家 民宿 雙人房 空間 寬敞 浴室 乾 濕 分離 推推
0.0,麻將桌 KTV 電視 設備 新 適合 包 棟 房客 使用
0.0,環境 新 乾淨 一樓 兒童 遊樂區 開放 廚房 電視
0.0,花蓮 遊 推薦 東 旅 民宿 老闆娘 婆婆 服務 周到 一級棒
0.0,環境 優美 適合 放鬆 房東人 nice
0.0,透天 裡 小 套房 下雨車 停 室
0.0,溫馨 小 地方 好 停車 舒適
1.0,溫泉 不錯 點心 棒 附近 泰雅 文化 棒 老街 後面 山豬肉 香腸 讚 排隊
1.0,價錢 公道 老闆 老闆娘 全 家 大小 親切 風景 優美
0.0,高 裝潢 簡單 環境 乾淨 花費 停車 算 方便 泡 溫泉 地方
0.0,噪音 住宿 雙人房 位於 一樓 內側 聽 馬路 車聲 行李 空間 O
0.0,第一 房間 前 位 客人 遺留物 想 房 電話 客服 反應 電話 通 下樓
1.0,車站 西 桃園 機場 如同 名 適合 旅人 飯店
0.0,傳統 80年 建築 熱情 老闆 特色 傳統 早餐 推薦
0.0,老闆 熱情 免費 招待 手作 豆花
0.0,房間 溫馨 老闆 煮 特色餐 好吃
1.0,房間 風景 好 整體 服務 棒 早餐 選擇 較少 品質 好 冷氣 冷
0.0,屋主 別出心裁 用心 設計 環境 優美 溫馨 氣氛 溫暖 旅人 心
0.0,裝潢 棒 房子 新 老闆 親切 高
1.0,老闆 親切 房間 風景 優美 小 陽台 喜歡
1.0,老闆 親切 愛心 收養 隻 貓咪 親人 素食 早餐 好吃 房間 日出
1.0,車子 難 上山 景色 美不勝收 值得 人 整 心靈 放鬆 好 地方 老闆 人 好 好客
0.0,人 房 房間 空間 視野 遼闊 戶外 氣溫 低
0.0,服務 超棒 老闆 老闆娘 客人 家人 照顧 住 裕園 洋樓 民宿
0.0,吃 小 餅乾 喝 飲料 吃 水果 房間 乾淨 舒適 推薦
0.0,洋樓 建築 室 環境 舒適 咖啡 無限 暢飲
0.0,房間 礦泉水 前 位 客人 換掉 續冰 在 冰箱 中
