reviews,value,comfort,location,cleanliness,service,ws_pos_reviews,filtered,filtered_noun
二特區還能體驗輕軌鐵道感受港都高雄多樣化的魅力真心推薦,0.0,0.0,1.0,0.0,0.0,"二(Neu),特區(Nc),還(D),能(D),體驗(VC),輕軌(Na),鐵道(Na),感受(VK),港都(Nc),高雄(Nc),多樣化(VHC),的(DE),魅力(Na),真心(VH),推薦(VC)","特區(Nc),體驗(VC),輕軌(Na),鐵道(Na),感受(VK),港都(Nc),高雄(Nc),多樣化(VHC),魅力(Na),真心(VH),推薦(VC)","特區(Nc),體驗(VC),輕軌(Na),鐵道(Na),感受(VK),港都(Nc),高雄(Nc),多樣化(VHC),魅力(Na),真心(VH),推薦(VC)"
很棒的藝術空間不止可以吃東西也能住宿定期也會有不同的展覽而且老闆娘超正的,0.0,1.0,0.0,0.0,1.0,"很(Dfa),棒(VH),的(DE),藝術(Na),空間(Na),不止(Da),可以(D),吃(VC),東西(Na),也(D),能(D),住宿(VA),定期(D),也(D),會(D),有(V_2),不同(VH),的(DE),展覽(VC),而且(Cbb),老闆娘(Na),超正(VH),的(DE)","棒(VH),藝術(Na),空間(Na),吃(VC),東西(Na),住宿(VA),定期(D),展覽(VC),老闆娘(Na),超正(VH)","棒(VH),藝術(Na),空間(Na),吃(VC),東西(Na),住宿(VA),展覽(VC),老闆娘(Na),超正(VH)"
有溫暖有內涵的民宿值得再次來放鬆渡假極力推薦超讚,0.0,0.0,0.0,0.0,1.0,"有(V_2),溫暖(VHC),有(V_2),內涵(Na),的(DE),民宿(Nc),值得(VH),再次(D),來(D),放鬆(VHC),渡假(VA),極力(D),推薦(VC),超讚(VH)","溫暖(VHC),內涵(Na),民宿(Nc),值得(VH),再次(D),放鬆(VHC),渡假(VA),推薦(VC),超讚(VH)","溫暖(VHC),內涵(Na),民宿(Nc),值得(VH),放鬆(VHC),渡假(VA),推薦(VC),超讚(VH)"
餐點用心精緻可以感受女老闆對於食材的要求店內還有貼心的情人節活動玩得很開心,0.0,1.0,0.0,0.0,1.0,"餐點(Na),用心(VH),精緻(VH),可以(D),感受(VK),女(Na),老闆(Na),對於(P),食材(Na),的(DE),要求(VF),店(Nc),內(Ncd),還(D),有(V_2),貼心(VH),的(DE),情人節(Nd),活動(Na),玩(VC),得(DE),很(Dfa),開心(VH)","餐點(Na),用心(VH),精緻(VH),感受(VK),女(Na),老闆(Na),食材(Na),要求(VF),店(Nc),貼心(VH),情人節(Nd),活動(Na),玩(VC),開心(VH)","餐點(Na),用心(VH),精緻(VH),感受(VK),女(Na),老闆(Na),食材(Na),要求(VF),店(Nc),貼心(VH),情人節(Nd),活動(Na),玩(VC),開心(VH)"
的九份美食絕對是必吃中的必吃房間乾淨舒適程度媲美五星級飯店,0.0,1.0,0.0,1.0,0.0,"的(DE),九(Neu),份(Nf),美食(Na),絕對(D),是(SHI),必(D),吃(VC),中(Ng),的(DE),必(D),吃(VC),房間(Nc),乾淨(VH),舒適(VH),程度(Na),媲美(VJ),五星級(Na),飯店(Nc)","份(Nf),美食(Na),吃(VC),中(Ng),吃(VC),房間(Nc),乾淨(VH),舒適(VH),程度(Na),媲美(VJ),五星級(Na),飯店(Nc)","份(Nf),美食(Na),吃(VC),中(Ng),吃(VC),房間(Nc),乾淨(VH),舒適(VH),程度(Na),媲美(VJ),五星級(Na),飯店(Nc)"
很多貼心的細節靜待來客體會感覺得到老闆花了很多心思提供旅人舒適的住宿空間,0.0,1.0,0.0,0.0,1.0,"很多(Neqa),貼心(VH),的(DE),細節(Na),靜待(VK),來客(Na),體會(VK),感覺(VK),得(DE),到(VK),老闆(Na),花(VC),了(Di),很多(Neqa),心思(Na),提供(VD),旅人(Na),舒適(VH),的(DE),住宿(VA),空間(Na)","貼心(VH),細節(Na),靜待(VK),來客(Na),體會(VK),感覺(VK),老闆(Na),花(VC),心思(Na),提供(VD),旅人(Na),舒適(VH),住宿(VA),空間(Na)","貼心(VH),細節(Na),靜待(VK),來客(Na),體會(VK),感覺(VK),老闆(Na),花(VC),心思(Na),提供(VD),旅人(Na),舒適(VH),住宿(VA),空間(Na)"
地點不錯房間外面有陽台可以看海景缺點就是浴室的沐浴乳快沒了沒有補,0.0,1.0,1.0,0.0,1.0,"地點(Na),不錯(VH),房間(Nc),外面(Ncd),有(V_2),陽台(Na),可以(D),看(VC),海景(Na),缺點(Na),就(D),是(SHI),浴室(Nc),的(DE),沐浴乳(Na),快(D),沒(VJ),了(Di),沒有(D),補(VC)","地點(Na),不錯(VH),房間(Nc),外面(Ncd),陽台(Na),海景(Na),缺點(Na),浴室(Nc),沐浴乳(Na),補(VC)","地點(Na),不錯(VH),房間(Nc),外面(Ncd),陽台(Na),海景(Na),缺點(Na),浴室(Nc),沐浴乳(Na),補(VC)"
裝潢與設備還不錯但清潔度欠佳房間地板桌子床頭椅子都是沙子浴缸還有些頭髮,0.0,1.0,0.0,1.0,0.0,"裝潢(Na),與(Caa),設備(Na),還(D),不錯(VH),但(Cbb),清潔度(Na),欠佳(VH),房間(Nc),地板(Na),桌子(Na),床頭(Nc),椅子(Na),都(D),是(SHI),沙子(Na),浴缸(Na),還(Caa),有(V_2),些(Nf),頭髮(Na)","裝潢(Na),設備(Na),不錯(VH),清潔度(Na),欠佳(VH),房間(Nc),地板(Na),桌子(Na),床頭(Nc),椅子(Na),沙子(Na),浴缸(Na),些(Nf),頭髮(Na)","裝潢(Na),設備(Na),不錯(VH),清潔度(Na),欠佳(VH),房間(Nc),地板(Na),桌子(Na),床頭(Nc),椅子(Na),沙子(Na),浴缸(Na),些(Nf),頭髮(Na)"
早餐簡單2風景5房型風格5隔音3停車方便8,0.0,1.0,1.0,0.0,1.0,"早餐(Na),簡單(VH),2(Neu),風景(Na),5(Neu),房型(Na),風格(Na),5(Neu),隔音(A),3(Neu),停車(VA),方便(VH),8(Neu)","早餐(Na),簡單(VH),風景(Na),房型(Na),風格(Na),隔音(A),停車(VA),方便(VH)","早餐(Na),簡單(VH),風景(Na),房型(Na),風格(Na),停車(VA),方便(VH)"
老闆娘很親切漂亮會介紹美食及旅遊地點民宿在庭院有收養ㄧ隻流浪貓咪很可愛,0.0,0.0,0.0,0.0,1.0,"老闆娘(Na),很(Dfa),親切(VH),漂亮(VH),會(D),介紹(VE),美食(Na),及(Caa),旅遊(VA),地點(Na),民宿(Nc),在(P),庭院(Na),有(V_2),收養(VC),ㄧ(Neu),隻(Nf),流浪(VA),貓咪(Na),很(Dfa),可愛(VH)","老闆娘(Na),親切(VH),漂亮(VH),介紹(VE),美食(Na),旅遊(VA),地點(Na),民宿(Nc),庭院(Na),收養(VC),ㄧ(Neu),隻(Nf),流浪(VA),貓咪(Na),可愛(VH)","老闆娘(Na),親切(VH),漂亮(VH),介紹(VE),美食(Na),旅遊(VA),地點(Na),民宿(Nc),庭院(Na),收養(VC),ㄧ(Neu),隻(Nf),流浪(VA),貓咪(Na),可愛(VH)"
離中與停車場超近的民宿房間乾淨而最令人滿意的是老闆娘無比親切熱情的服務,0.0,0.0,1.0,1.0,1.0,"離(P),中(Ncd),與(Caa),停車場(Nc),超(VC),近(VH),的(DE),民宿(Nc),房間(Nc),乾淨(VH),而(Cbb),最(Dfa),令(VL),人(Na),滿意(VK),的(DE),是(SHI),老闆娘(Na),無比(VH),親切(VH),熱情(VH),的(DE),服務(VC)","中(Ncd),停車場(Nc),超(VC),民宿(Nc),房間(Nc),乾淨(VH),最(Dfa),令(VL),人(Na),滿意(VK),老闆娘(Na),無比(VH),親切(VH),熱情(VH),服務(VC)","中(Ncd),停車場(Nc),超(VC),民宿(Nc),房間(Nc),乾淨(VH),令(VL),人(Na),滿意(VK),老闆娘(Na),無比(VH),親切(VH),熱情(VH),服務(VC)"
地點很棒靠近水社遊客中心乾淨舒適喜愛龍貓主題環境佈置的首選,0.0,1.0,1.0,1.0,0.0,"地點(Na),很(Dfa),棒(VH),靠近(VC),水社(Nc),遊客(Na),中心(Nc),乾淨(VH),舒適(VH),喜愛(VL),龍貓(Nb),主題(Na),環境(Na),佈置(VC),的(DE),首選(Na)","地點(Na),棒(VH),靠近(VC),水社(Nc),遊客(Na),中心(Nc),乾淨(VH),舒適(VH),喜愛(VL),龍貓(Nb),主題(Na),環境(Na),佈置(VC),首選(Na)","地點(Na),棒(VH),靠近(VC),水社(Nc),遊客(Na),中心(Nc),乾淨(VH),舒適(VH),喜愛(VL),龍貓(Nb),主題(Na),環境(Na),佈置(VC),首選(Na)"
人潮下降明顯的狀況而言建議民宿主人可以考慮降低房價,1.0,0.0,0.0,0.0,0.0,"人潮(Na),下降(VA),明顯(VH),的(DE),狀況(Na),而言(Ng),建議(VE),民宿(Nc),主人(Na),可以(D),考慮(VE),降低(VHC),房價(Na)","人潮(Na),下降(VA),明顯(VH),狀況(Na),建議(VE),民宿(Nc),主人(Na),考慮(VE),降低(VHC),房價(Na)","人潮(Na),下降(VA),明顯(VH),狀況(Na),建議(VE),民宿(Nc),主人(Na),考慮(VE),降低(VHC),房價(Na)"
有家的溫暖還有5星級飯店的舒適感更有像好友般的熱情主人這家民宿真的很棒,0.0,1.0,0.0,0.0,1.0,"有(V_2),家(Nc),的(DE),溫暖(VHC),還(Caa),有(V_2),5星級(Na),飯店(Nc),的(DE),舒適感(Na),更(Dfa),有(V_2),像(P),好友(Na),般(Ng),的(DE),熱情(VH),主人(Na),這(Nep),家(Nf),民宿(Nc),真的(D),很(Dfa),棒(VH)","家(Nc),溫暖(VHC),5星級(Na),飯店(Nc),舒適感(Na),好友(Na),般(Ng),熱情(VH),主人(Na),家(Nf),民宿(Nc),真的(D),棒(VH)","家(Nc),溫暖(VHC),5星級(Na),飯店(Nc),舒適感(Na),好友(Na),般(Ng),熱情(VH),主人(Na),家(Nf),民宿(Nc),棒(VH)"
空間寬敞燈光明亮床墊很軟廁所乾淨有腳踏車可以騎好山好水好風景,0.0,1.0,1.0,1.0,0.0,"空間(Na),寬敞(VH),燈光(Na),明亮(VH),床墊(Na),很(Dfa),軟(VH),廁所(Nc),乾淨(VH),有(V_2),腳踏車(Na),可以(D),騎(VC),好(VH),山(Na),好(VH),水(Na),好(VH),風景(Na)","空間(Na),寬敞(VH),燈光(Na),明亮(VH),床墊(Na),軟(VH),廁所(Nc),乾淨(VH),腳踏車(Na),騎(VC),好(VH),山(Na),好(VH),水(Na),好(VH),風景(Na)","空間(Na),寬敞(VH),燈光(Na),明亮(VH),床墊(Na),軟(VH),廁所(Nc),乾淨(VH),腳踏車(Na),騎(VC),好(VH),山(Na),好(VH),水(Na),好(VH),風景(Na)"
烤肉和唱KTV房間比照片大又舒適很推薦親子或朋友一同前來,0.0,1.0,0.0,0.0,0.0,"烤(VC),肉(Na),和(Caa),唱(VC),KTV(FW),房間(Nc),比(P),照片(Na),大(VH),又(Caa),舒適(VH),很(Dfa),推薦(VC),親子(Na),或(Caa),朋友(Na),一同(D),前來(VCL)","烤(VC),肉(Na),唱(VC),KTV(FW),房間(Nc),照片(Na),舒適(VH),推薦(VC),親子(Na),朋友(Na),一同(D),前來(VCL)","烤(VC),肉(Na),唱(VC),房間(Nc),照片(Na),舒適(VH),推薦(VC),親子(Na),朋友(Na),前來(VCL)"
冰箱有免費的水和飲料也有提供咖啡茶包餅乾下次會再去住宿的,1.0,0.0,0.0,0.0,1.0,"冰箱(Na),有(V_2),免費(VH),的(DE),水(Na),和(Caa),飲料(Na),也(D),有(V_2),提供(VD),咖啡(Na),茶包(Na),餅乾(Na),下(Nes),次(Nf),會(D),再(D),去(D),住宿(VA),的(DE)","冰箱(Na),免費(VH),水(Na),飲料(Na),提供(VD),咖啡(Na),茶包(Na),餅乾(Na),下(Nes),次(Nf),再(D),住宿(VA)","冰箱(Na),免費(VH),水(Na),飲料(Na),提供(VD),咖啡(Na),茶包(Na),餅乾(Na),下(Nes),次(Nf),住宿(VA)"
乾淨舒適燈光美氣氛佳床很軟推薦201的中國風有按摩椅很大的按摩浴缸,0.0,1.0,0.0,1.0,0.0,"乾淨(VH),舒適(VH),燈光(Na),美(VH),氣氛(Na),佳(VH),床(Na),很(Dfa),軟(VH),推薦(VC),201(Neu),的(DE),中國風(Na),有(V_2),按摩椅(Na),很(Dfa),大(VH),的(DE),按摩(VC),浴缸(Na)","乾淨(VH),舒適(VH),燈光(Na),美(VH),氣氛(Na),佳(VH),床(Na),軟(VH),推薦(VC),201(Neu),中國風(Na),按摩椅(Na),按摩(VC),浴缸(Na)","乾淨(VH),舒適(VH),燈光(Na),美(VH),氣氛(Na),佳(VH),床(Na),軟(VH),推薦(VC),201(Neu),中國風(Na),按摩椅(Na),按摩(VC),浴缸(Na)"
房間大品質好裝潢質感高級而不花俏超讚一定會再來,0.0,1.0,0.0,0.0,0.0,"房間(Nc),大(VH),品質(Na),好(VH),裝潢(VC),質感(Na),高級(VH),而(Cbb),不(D),花俏(VH),超讚(VH),一定(D),會(D),再(D),來(D)","房間(Nc),品質(Na),好(VH),裝潢(VC),質感(Na),高級(VH),花俏(VH),超讚(VH),一定(D),再(D)","房間(Nc),品質(Na),好(VH),裝潢(VC),質感(Na),高級(VH),花俏(VH),超讚(VH)"
有不少可愛不怕生的貓咪業者本身還經營餐廳和島上旅遊行程以及機車出租,0.0,1.0,0.0,0.0,0.0,"有(V_2),不少(Neqa),可愛(VH),不(D),怕生(VH),的(DE),貓咪(Na),業者(Na),本身(Nh),還(D),經營(VC),餐廳(Nc),和(Caa),島(Na),上(Ncd),旅遊(VA),行程(Na),以及(Caa),機車(Na),出租(VD)","可愛(VH),怕生(VH),貓咪(Na),業者(Na),經營(VC),餐廳(Nc),島(Na),旅遊(VA),行程(Na),機車(Na),出租(VD)","可愛(VH),怕生(VH),貓咪(Na),業者(Na),經營(VC),餐廳(Nc),島(Na),旅遊(VA),行程(Na),機車(Na),出租(VD)"
